,Position,Country,Car,Points
Nelson Piquet,1,BRA,Williams Honda,73
Nigel Mansell,2,GBR,Williams Honda,61
Ayrton Senna,3,BRA,Lotus Honda,57
Alain Prost,4,FRA,McLaren TAG,46
Gerhard Berger,5,AUT,Ferrari,36
Stefan Johansson,6,SWE,McLaren TAG,30
Michele Alboreto,7,ITA,Ferrari,17
Thierry Boutsen,8,BEL,Benetton Ford,16
Teo Fabi,9,ITA,Benetton Ford,12
Eddie  Cheever,10,USA,Arrows Megatron,8
Jonathan  Palmer,11,GBR,Tyrrell Ford,7
Satoru Nakajima,12,JPN,Lotus Honda,7
Riccardo Patrese,13,ITA,Williams Honda,6
Andrea de Cesaris,14,ITA,Brabham BMW,4
Philippe Streiff,15,FRA,Tyrrell Ford,4
Derek Warwick,16,GBR,Arrows Megatron,3
Philippe Alliot,17,FRA,Lola Ford,3
Martin Brundle,18,GBR,Zakspeed,2
Rene Arnoux,19,FRA,Ligier Megatron,1
Ivan Capelli,20,ITA,March Ford,1
Roberto Moreno,21,BRA,AGS Ford,1
