,Position,Country,Car,Points
Lewis Hamilton,1,GBR,Mercedes,413
Valtteri Bottas,2,FIN,Mercedes,326
Max Verstappen,3,NED,Red Bull Racing Honda,278
Charles Leclerc,4,MON,Ferrari,264
Sebastian Vettel,5,GER,Ferrari,240
Carlos Sainz,6,ESP,McLaren Renault,96
Pierre Gasly,7,FRA,Scuderia Toro Rosso Honda,95
Alexander Albon,8,THA,Red Bull Racing Honda,92
Daniel Ricciardo,9,AUS,Renault,54
Sergio Perez,10,MEX,Racing Point BWT Mercedes,52
Lando Norris,11,GBR,McLaren Renault,49
Kimi Räikkönen,12,FIN,Alfa Romeo Racing Ferrari,43
Daniil Kvyat,13,RUS,Scuderia Toro Rosso Honda,37
Nico Hulkenberg,14,GER,Renault,37
Lance Stroll,15,CAN,Racing Point BWT Mercedes,21
Kevin Magnussen,16,DEN,Haas Ferrari,20
Antonio Giovinazzi,17,ITA,Alfa Romeo Racing Ferrari,14
Romain Grosjean,18,FRA,Haas Ferrari,8
Robert Kubica,19,POL,Williams Mercedes,1
George Russell,20,GBR,Williams Mercedes,0
