,Position,Country,Car,Points
Ayrton Senna,1,BRA,McLaren Honda,78
Alain Prost,2,FRA,Ferrari,71
Nelson Piquet,3,BRA,Benetton Ford,43
Gerhard Berger,3,AUT,McLaren Honda,43
Nigel Mansell,5,GBR,Ferrari,37
Thierry Boutsen,6,BEL,Williams Renault,34
Riccardo Patrese,7,ITA,Williams Renault,23
Alessandro Nannini,8,ITA,Benetton Ford,21
Jean Alesi,9,FRA,Tyrrell Ford,13
Ivan Capelli,10,ITA,Leyton House Judd,6
Roberto Moreno,10,BRA,Benetton Ford,6
Aguri Suzuki,12,JPN,Lola Lamborghini,6
Eric Bernard,13,FRA,Lola Lamborghini,5
Derek Warwick,14,GBR,Lotus Lamborghini,3
Satoru Nakajima,15,JPN,Tyrrell Ford,3
Alex Caffi,16,ITA,Arrows Ford,2
Stefano Modena,16,ITA,Brabham Judd,2
Mauricio Gugelmin,18,BRA,Leyton House Judd,1
