,Position,Country,Car,Points
Niki Lauda,1,AUT,Ferrari,64.5
Emerson Fittipaldi,2,BRA,McLaren Ford,45
Carlos Reutemann,3,ARG,Brabham Ford,37
James Hunt,4,GBR,Hesketh Ford,33
Clay Regazzoni,5,SUI,Ferrari,25
Carlos Pace,6,BRA,Brabham Ford,24
Jody Scheckter,7,RSA,Tyrrell Ford,20
Jochen Mass,7,GER,McLaren Ford,20
Patrick Depailler,9,FRA,Tyrrell Ford,12
Tom Pryce,10,GBR,Shadow Ford,8
Vittorio Brambilla,11,ITA,March Ford,6.5
Jacques Laffite,12,FRA,Frank Williams Racing Cars/Williams,6
Ronnie Peterson,12,SWE,Lotus Ford,6
Mario Andretti,14,USA,Parnelli Ford,5
Mark Donohue,15,USA,March Ford,4
Jacky Ickx,16,BEL,Lotus Ford,3
Alan  Jones,17,AUS,Hill Ford,2
Jean-Pierre Jarier,18,FRA,Shadow Ford,1.5
Tony Brise,19,GBR,Hill Ford,1
Gijs van Lennep,19,NED,Ensign Ford,1
Lella Lombardi,21,ITA,Frank Williams Racing Cars/Williams,0.5
