,Position,Country,Car,Points
Phil Hill,1,USA,Ferrari,34
Wolfgang von Trips,2,GER,Ferrari,33
Stirling Moss,3,GBR,Lotus Climax,21
Dan Gurney,3,USA,Porsche,21
Richie Ginther,5,USA,Ferrari,16
Innes Ireland,6,GBR,Lotus Climax,12
Jim Clark,7,GBR,Lotus Climax,11
Bruce McLaren,7,NZL,Cooper Climax,11
Giancarlo Baghetti,9,ITA,Ferrari,9
Tony Brooks,10,GBR,BRM Climax,6
Jack Brabham,11,AUS,Cooper Climax,4
John Surtees,11,GBR,Cooper Climax,4
Olivier  Gendebien,13,BEL,Lotus Climax,3
Jackie  Lewis ,13,GBR,Cooper Climax,3
Jo Bonnier,13,SWE,Porsche,3
Graham Hill,13,GBR,BRM Climax,3
Roy Salvadori,17,GBR,Cooper Climax,2
