,Position,Country,Car,Points
Michael Schumacher,1,GER,Benetton Renault,102
Damon Hill,2,GBR,Williams Renault,69
David Coulthard,3,GBR,Williams Renault,49
Johnny Herbert,4,GBR,Benetton Renault,45
Jean Alesi,5,FRA,Ferrari,42
Gerhard Berger,6,AUT,Ferrari,31
Mika Hakkinen,7,FIN,McLaren Mercedes,17
Olivier Panis,8,FRA,Ligier Mugen Honda,16
Heinz-Harald Frentzen,9,GER,Sauber Ford,15
Mark Blundell,10,GBR,McLaren Mercedes,13
Rubens Barrichello,11,BRA,Jordan Peugeot,11
Eddie Irvine,12,GBR,Jordan Peugeot,10
Martin Brundle,13,GBR,Ligier Mugen Honda,7
Gianni Morbidelli,14,ITA,Footwork Hart,5
Mika Salo,15,FIN,Tyrrell Yamaha,5
Jean-Christophe Boullion,16,FRA,Sauber Ford,3
Aguri Suzuki,17,JPN,Ligier Mugen Honda,1
Pedro Lamy,18,POR,Minardi Ford,1
