,Position,Country,Car,Points
Mario Andretti,1,USA,Lotus Ford,64
Ronnie Peterson,2,SWE,Lotus Ford,51
Carlos Reutemann,3,ARG,Ferrari,48
Niki Lauda,4,AUT,Brabham Alfa Romeo,44
Patrick Depailler,5,FRA,Tyrrell Ford,34
John Watson,6,GBR,Brabham Alfa Romeo,25
Jody Scheckter,7,RSA,Wolf Ford,24
Jacques Laffite,8,FRA,Ligier Matra,19
Gilles Villeneuve,9,CAN,Ferrari,17
Emerson Fittipaldi,9,BRA,Fittipaldi Ford,17
Alan  Jones,11,AUS,Williams Ford,11
Riccardo Patrese,11,ITA,Arrows Ford,11
James Hunt,13,GBR,McLaren Ford,8
Patrick Tambay,13,FRA,McLaren Ford,8
Didier Pironi,15,FRA,Tyrrell Ford,7
Clay Regazzoni,16,SUI,Shadow Ford,4
Jean-Pierre Jabouille,17,FRA,Renault,3
Hans-Joachim Stuck,18,GER,Shadow Ford,2
Hector Rebaque,19,MEX,Lotus Ford,1
Vittorio Brambilla,19,ITA,Surtees Ford,1
Derek Daly,19,IRL,Ensign Ford,1
