,Position,Country,Car,Points
Jack Brabham,1,AUS,Cooper Climax,43
Bruce McLaren,2,NZL,Cooper Climax,34
Stirling Moss,3,GBR,Lotus Climax,19
Innes Ireland,4,GBR,Lotus Climax,18
Phil Hill,5,USA,Cooper Climax,16
Olivier  Gendebien,6,BEL,Cooper Climax,10
Wolfgang von Trips,6,GER,Cooper Maserati,10
Jim Rathmann,8,USA,Watson Offenhauser,8
Richie Ginther,8,USA,Ferrari,8
Jim Clark,8,GBR,Lotus Climax,8
Tony Brooks,11,GBR,Cooper Climax,7
Cliff Allison,12,GBR,Ferrari,6
Rodger Ward,12,USA,Watson Offenhauser,6
John Surtees,12,GBR,Lotus Climax,6
Paul Goldsmith,15,USA,Epperly Offenhauser,4
Graham Hill,15,GBR,BRM,4
Willy Mairesse,15,BEL,Ferrari,4
Jo Bonnier,15,SWE,BRM,4
Carlos Menditeguy,19,ARG,Cooper Maserati,3
Don  Branson,19,USA,Phillips Offenhauser,3
Henry Taylor,19,GBR,Cooper Climax,3
Giulio Cabianca,19,ITA,Cooper Castellotti,3
Johnny Thomson,23,USA,Lesovsky Offenhauser,2
Eddie Johnson,24,USA,Trevis Offenhauser,1
Lucien Bianchi,24,BEL,Cooper Climax,1
Ron Flockhart,24,GBR,Cooper Climax,1
Hans  Herrmann,24,GER,Porsche,1
