,Position,Country,Car,Points
Mika Hakkinen,1,FIN,McLaren Mercedes,100
Michael Schumacher,2,GER,Ferrari,86
David Coulthard,3,GBR,McLaren Mercedes,56
Eddie Irvine,4,GBR,Ferrari,47
Jacques Villeneuve,5,CAN,Williams Mecachrome,21
Damon Hill,6,GBR,Jordan Mugen Honda,20
Heinz-Harald Frentzen,7,GER,Williams Mecachrome,17
Alexander Wurz,8,AUT,Benetton Playlife,17
Giancarlo Fisichella,9,ITA,Benetton Playlife,16
Ralf Schumacher,10,GER,Jordan Mugen Honda,14
Jean Alesi,11,FRA,Sauber Petronas,9
Rubens Barrichello,12,BRA,Stewart Ford,4
Mika Salo,13,FIN,Arrows,3
Pedro Diniz,14,BRA,Arrows,3
Johnny Herbert,15,GBR,Sauber Petronas,1
Jan Magnussen,16,DEN,Stewart Ford,1
Jarno Trulli,17,ITA,Prost Peugeot,1
Ricardo Rosset,18,BRA,Tyrrell Ford,0
Olivier Panis,19,FRA,Prost Peugeot,0
Toranosuke Takagi,20,JPN,Tyrrell Ford,0
Shinji Nakano,21,JPN,Minardi Ford,0
Esteban Tuero,22,ARG,Minardi Ford,0
Jos Verstappen,23,NED,Stewart Ford,0
