,Position,Country,Car,Points
Michael Schumacher,1,GER,Ferrari,144
Rubens Barrichello,2,BRA,Ferrari,77
Juan Pablo Montoya,3,COL,Williams BMW,50
Ralf Schumacher,4,GER,Williams BMW,42
David Coulthard,5,GBR,McLaren Mercedes,41
Kimi Räikkönen,6,FIN,McLaren Mercedes,24
Jenson Button,7,GBR,Renault,14
Jarno Trulli,8,ITA,Renault,9
Eddie Irvine,9,GBR,Jaguar Cosworth,8
Nick Heidfeld,10,GER,Sauber Petronas,7
Giancarlo Fisichella,11,ITA,Jordan Honda,7
Jacques Villeneuve,12,CAN,BAR Honda,4
Felipe Massa,13,BRA,Sauber Petronas,4
Olivier Panis,14,FRA,BAR Honda,3
Takuma Sato,15,JPN,Jordan Honda,2
Mark Webber,16,AUS,Minardi Asiatech,2
Mika Salo,17,FIN,Toyota,2
Heinz-Harald Frentzen,18,GER,Sauber Petronas,2
Allan McNish,19,GBR,Toyota,0
Alex Yoong,20,MAS,Minardi Asiatech,0
Pedro de la Rosa,21,ESP,Jaguar Cosworth,0
Enrique Bernoldi,22,BRA,Arrows Cosworth,0
