,Position,Country,Car,Points
Jenson Button,1,GBR,Brawn Mercedes,95
Sebastian Vettel,2,GER,RBR Renault,84
Rubens Barrichello,3,BRA,Brawn Mercedes,77
Mark Webber,4,AUS,RBR Renault,69.5
Lewis Hamilton,5,GBR,McLaren Mercedes,49
Kimi Räikkönen,6,FIN,Ferrari,48
Nico Rosberg,7,GER,Williams Toyota,34.5
Jarno Trulli,8,ITA,Toyota,32.5
Fernando Alonso,9,ESP,Renault,26
Timo Glock,10,GER,Toyota,24
Felipe Massa,11,BRA,Ferrari,22
Heikki Kovalainen,12,FIN,McLaren Mercedes,22
Nick Heidfeld,13,GER,Sauber BMW,19
Robert Kubica,14,POL,Sauber BMW,17
Giancarlo Fisichella,15,ITA,Ferrari,8
Sebastien Buemi,16,SUI,STR Ferrari,6
Adrian Sutil,17,GER,Force India Mercedes,5
Kamui Kobayashi,18,JPN,Toyota,3
Sebastien Bourdais,19,FRA,STR Ferrari,2
Kazuki Nakajima,20,JPN,Williams Toyota,0
Nelson Piquet,21,BRA,Renault,0
Vitantonio Liuzzi,22,ITA,Force India Mercedes,0
Romain Grosjean,23,FRA,Renault,0
Jaime Alguersuari,24,ESP,STR Ferrari,0
Luca Badoer,25,ITA,Ferrari,0
