,Position,Country,Car,Points
Juan Manuel Fangio,1,ARG,Alfa Romeo,31
Alberto Ascari,2,ITA,Ferrari,25
Jose Froilan Gonzalez,3,ARG,,24
Nino Farina,4,ITA,Alfa Romeo,19
Luigi  Villoresi,5,ITA,Ferrari,15
Piero  Taruffi,6,ITA,Ferrari,10
Lee Wallard,7,USA,Kurtis Kraft Offenhauser,9
Felice  Bonetto,8,ITA,Alfa Romeo,7
Mike Nazaruk,9,USA,Kurtis Kraft Offenhauser,6
Reg  Parnell,10,GBR,BRM,5
Luigi Fagioli,11,ITA,Alfa Romeo,4
Consalvo  Sanesi,12,ITA,Alfa Romeo,3
Andy Linden,12,USA,Sherman Offenhauser,3
Louis  Rosier,12,FRA,,3
Toulo de Graffenried,15,SUI,Alfa Romeo,2
Manny Ayulo,15,USA,Kurtis Kraft Offenhauser,2
Bobby Ball,15,USA,Schroeder Offenhauser,2
Jack McGrath,15,USA,Kurtis Kraft Offenhauser,2
Yves Giraud-Cabantous,15,FRA,,2
