,Position,Country,Car,Points
Jim Clark,1,GBR,Lotus Climax,54
Graham Hill,2,GBR,BRM,40
Jackie Stewart,3,GBR,BRM,33
Dan Gurney,4,USA,Brabham Climax,25
John Surtees,5,GBR,Ferrari,17
Lorenzo Bandini,6,ITA,Ferrari,13
Richie Ginther,7,USA,Honda,11
Mike Spence,8,GBR,Lotus Climax,10
Bruce McLaren,8,NZL,Cooper Climax,10
Jack Brabham,10,AUS,Brabham Climax,9
Denny Hulme,11,NZL,Brabham Climax,5
Jo Siffert,11,SUI,Brabham BRM,5
Jochen Rindt,13,AUT,Cooper Climax,4
Pedro Rodriguez,14,MEX,Ferrari,2
Ronnie Bucknum,14,USA,Honda,2
Richard Attwood,14,GBR,Lotus BRM,2
