,Position,Country,Car,Points
Michael Schumacher,1,GER,Ferrari,123
David Coulthard,2,GBR,McLaren Mercedes,65
Rubens Barrichello,3,BRA,Ferrari,56
Ralf Schumacher,4,GER,Williams BMW,49
Mika Hakkinen,5,FIN,McLaren Mercedes,37
Juan Pablo Montoya,6,COL,Williams BMW,31
Jacques Villeneuve,7,CAN,BAR Honda,12
Nick Heidfeld,8,GER,Sauber Petronas,12
Jarno Trulli,9,ITA,Jordan Honda,12
Kimi Räikkönen,10,FIN,Sauber Petronas,9
Giancarlo Fisichella,11,ITA,Benetton Renault,8
Eddie Irvine,12,GBR,Jaguar Cosworth,6
Heinz-Harald Frentzen,13,GER,Prost Acer,6
Olivier Panis,14,FRA,BAR Honda,5
Jean Alesi,15,FRA,Jordan Honda,5
Pedro de la Rosa,16,ESP,Jaguar Cosworth,3
Jenson Button,17,GBR,Benetton Renault,2
Jos Verstappen,18,NED,Arrows Asiatech,1
