,Position,Country,Car,Points
Michael Schumacher,1,GER,Ferrari,148
Rubens Barrichello,2,BRA,Ferrari,114
Jenson Button,3,GBR,BAR Honda,85
Fernando Alonso,4,ESP,Renault,59
Juan Pablo Montoya,5,COL,Williams BMW,58
Jarno Trulli,6,ITA,Toyota,46
Kimi Räikkönen,7,FIN,McLaren Mercedes,45
Takuma Sato,8,JPN,BAR Honda,34
Ralf Schumacher,9,GER,Williams BMW,24
David Coulthard,10,GBR,McLaren Mercedes,24
Giancarlo Fisichella,11,ITA,Sauber Petronas,22
Felipe Massa,12,BRA,Sauber Petronas,12
Mark Webber,13,AUS,Jaguar Cosworth,7
Olivier Panis,14,FRA,Toyota,6
Antonio Pizzonia,15,BRA,Williams BMW,6
Christian Klien,16,AUT,Jaguar Cosworth,3
Cristiano da Matta,17,BRA,Toyota,3
Nick Heidfeld,18,GER,Jordan Ford,3
Timo Glock,19,GER,Jordan Ford,2
Zsolt Baumgartner,20,HUN,Minardi Cosworth,1
Jacques Villeneuve,21,CAN,Renault,0
Ricardo Zonta,22,BRA,Toyota,0
Marc Gene,23,ESP,Williams BMW,0
Giorgio Pantano,24,ITA,Jordan Ford,0
Gianmaria Bruni,25,ITA,Minardi Cosworth,0
