,Position,Country,Car,Points
Denny Hulme,1,NZL,Brabham Repco,51
Jack Brabham,2,AUS,Brabham Repco,46
Jim Clark,3,GBR,Lotus Ford,41
John Surtees,4,GBR,Honda,20
Chris Amon,4,NZL,Ferrari,20
Pedro Rodriguez,6,MEX,Cooper Maserati,15
Graham Hill,6,GBR,Lotus Ford,15
Dan Gurney,8,USA,Eagle Climax,13
Jackie Stewart,9,GBR,BRM,10
Mike Spence,10,GBR,BRM,9
John Love,11,RHO,Cooper Climax,6
Jochen Rindt,11,AUT,Cooper Maserati,6
Jo Siffert,11,SUI,Cooper Maserati,6
Bruce McLaren,14,NZL,McLaren BRM,3
Jo Bonnier,14,SWE,Cooper Maserati,3
Bob Anderson,16,GBR,Brabham Climax,2
Mike  Parkes ,16,GBR,Ferrari,2
Chris   Irwin,16,GBR,BRM,2
Ludovico Scarfiotti,19,ITA,Eagle Weslake,1
Guy  Ligier ,19,FRA,Brabham Repco,1
Jacky Ickx,19,BEL,Cooper Maserati,1
