,Position,Country,Car,Points
Emerson Fittipaldi,1,BRA,McLaren Ford,55
Clay Regazzoni,2,SUI,Ferrari,52
Jody Scheckter,3,RSA,Tyrrell Ford,45
Niki Lauda,4,AUT,Ferrari,38
Ronnie Peterson,5,SWE,Lotus Ford,35
Carlos Reutemann,6,ARG,Brabham Ford,32
Denny Hulme,7,NZL,McLaren Ford,20
James Hunt,8,GBR,Hesketh Ford,15
Patrick Depailler,9,FRA,Tyrrell Ford,14
Jacky Ickx,10,BEL,Lotus Ford,12
Mike Hailwood,10,GBR,McLaren Ford,12
Carlos Pace,12,BRA,Brabham Ford,11
Jean-Pierre Beltoise,13,FRA,BRM,10
Jean-Pierre Jarier,14,FRA,Shadow Ford,6
John Watson,14,GBR,Brabham Ford,6
Hans-Joachim Stuck,16,GER,March Ford,5
Arturo Merzario,17,ITA,Iso Marlboro Ford,4
Graham Hill,18,GBR,Lola Ford,1
Tom Pryce,18,GBR,Shadow Ford,1
Vittorio Brambilla,18,ITA,March Ford,1
