,Position,Driver,Car,Time
5,1,Sebastian Vettel,Ferrari,1:33.194
7,2,Kimi Räikkönen,Ferrari,1:33.253
77,3,Valtteri Bottas,Mercedes,1:33.289
44,4,Lewis Hamilton,Mercedes,1:33.767
3,5,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:34.905
19,6,Felipe Massa,Williams Mercedes,1:35.110
33,7,Max Verstappen,Red Bull Racing TAG Heuer,1:35.161
27,8,Nico Hulkenberg,Renault,1:35.285
11,9,Sergio Perez,Force India Mercedes,1:35.337
31,10,Esteban Ocon,Force India Mercedes,1:35.430
18,11,Lance Stroll,Williams Mercedes,1:35.964
26,12,Daniil Kvyat,Toro Rosso,1:35.968
20,13,Kevin Magnussen,Haas Ferrari,1:36.017
55,14,Carlos Sainz,Toro Rosso,1:35.948
14,15,Fernando Alonso,McLaren Honda,1:36.660
30,16,Jolyon Palmer,Renault,1:36.462
94,17,Pascal Wehrlein,Sauber Ferrari,1:37.332
9,18,Marcus Ericsson,Sauber Ferrari,1:37.507
8,19,Romain Grosjean,Haas Ferrari,1:37.620
2,20,Stoffel Vandoorne,McLaren Honda,1:37.070
