,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
7,1,Kimi Räikkönen,Ferrari,49,1:36.844,217.388,16:30:02
5,2,Sebastian Vettel,Ferrari,49,1:37.312,216.343,16:29:54
77,3,Valtteri Bottas,Mercedes,49,1:37.367,216.221,16:29:53
19,4,Felipe Massa,Williams Mercedes,45,1:38.232,214.317,16:24:55
26,5,Daniil Kvyat,Toro Rosso,50,1:38.300,214.168,16:33:34
44,6,Lewis Hamilton,Mercedes,18,1:38.398,213.955,15:38:50
27,7,Nico Hulkenberg,Renault,52,1:38.418,213.912,16:36:23
33,8,Max Verstappen,Red Bull Racing TAG Heuer,47,1:38.429,213.888,16:27:35
11,9,Sergio Perez,Force India Mercedes,51,1:38.661,213.385,16:34:35
31,10,Esteban Ocon,Force India Mercedes,50,1:38.745,213.203,16:33:04
55,11,Carlos Sainz,Toro Rosso,51,1:38.858,212.960,16:35:03
18,12,Lance Stroll,Williams Mercedes,50,1:38.870,212.934,16:33:29
20,13,Kevin Magnussen,Haas Ferrari,40,1:39.566,211.445,16:17:07
2,14,Stoffel Vandoorne,McLaren Honda,47,1:39.790,210.971,16:29:20
9,15,Marcus Ericsson,Sauber Ferrari,48,1:39.835,210.875,16:31:02
94,16,Pascal Wehrlein,Sauber Ferrari,37,1:40.922,208.604,16:12:38
3,17,Daniel Ricciardo,Red Bull Racing TAG Heuer,4,1:42.285,205.824,15:15:41
