,Position,Driver,Car,Q1,Q2,Q3,Laps
5,1,Sebastian Vettel,Ferrari,1:34.493,1:34.038,1:33.194,20
7,2,Kimi Räikkönen,Ferrari,1:34.953,1:33.663,1:33.253,18
77,3,Valtteri Bottas,Mercedes,1:34.041,1:33.264,1:33.289,18
44,4,Lewis Hamilton,Mercedes,1:34.409,1:33.760,1:33.767,19
3,5,Daniel Ricciardo,Red Bull Racing TAG Heuer,1:35.560,1:35.483,1:34.905,20
19,6,Felipe Massa,Williams Mercedes,1:35.828,1:35.049,1:35.110,20
33,7,Max Verstappen,Red Bull Racing TAG Heuer,1:35.301,1:35.221,1:35.161,18
27,8,Nico Hulkenberg,Renault,1:35.507,1:35.328,1:35.285,21
11,9,Sergio Perez,Force India Mercedes,1:36.185,1:35.513,1:35.337,18
31,10,Esteban Ocon,Force India Mercedes,1:35.372,1:35.729,1:35.430,20
55,11,Carlos Sainz,Toro Rosso,1:35.827,1:35.948,,18
18,12,Lance Stroll,Williams Mercedes,1:36.279,1:35.964,,18
26,13,Daniil Kvyat,Toro Rosso,1:35.984,1:35.968,,18
20,14,Kevin Magnussen,Haas Ferrari,1:36.408,1:36.017,,16
14,15,Fernando Alonso,McLaren Honda,1:36.353,1:36.660,,14
30,16,Jolyon Palmer,Renault,1:36.462,,,9
2,17,Stoffel Vandoorne,McLaren Honda,1:37.070,,,9
94,18,Pascal Wehrlein,Sauber Ferrari,1:37.332,,,9
9,19,Marcus Ericsson,Sauber Ferrari,1:37.507,,,9
8,20,Romain Grosjean,Haas Ferrari,1:37.620,,,9
