,Position,Driver,Car,Time / Gap,Laps
5,1,Sebastian Vettel,Ferrari,1:34.001,17
7,2,Kimi Räikkönen,Ferrari,+0.337s,16
77,3,Valtteri Bottas,Mercedes,+0.363s,20
44,4,Lewis Hamilton,Mercedes,+0.541s,19
33,5,Max Verstappen,Red Bull Racing TAG Heuer,+1.451s,21
19,6,Felipe Massa,Williams Mercedes,+1.470s,17
27,7,Nico Hulkenberg,Renault,+1.661s,15
3,8,Daniel Ricciardo,Red Bull Racing TAG Heuer,+1.829s,24
55,9,Carlos Sainz,Toro Rosso,+2.163s,20
20,10,Kevin Magnussen,Haas Ferrari,+2.555s,19
18,11,Lance Stroll,Williams Mercedes,+2.648s,19
31,12,Esteban Ocon,Force India Mercedes,+2.675s,22
26,13,Daniil Kvyat,Toro Rosso,+2.845s,18
14,14,Fernando Alonso,McLaren Honda,+2.868s,12
11,15,Sergio Perez,Force India Mercedes,+2.961s,21
8,16,Romain Grosjean,Haas Ferrari,+3.163s,20
2,17,Stoffel Vandoorne,McLaren Honda,+3.181s,15
9,18,Marcus Ericsson,Sauber Ferrari,+3.502s,21
94,19,Pascal Wehrlein,Sauber Ferrari,+3.656s,17
30,20,Jolyon Palmer,Renault,,4
