,Position,Driver,Car,Lap,Time
5,1,Damon Hill,Williams Renault,65,1:21.547
3,2,Jean Alesi,Benetton Renault,58,1:21.866
12,3,Martin Brundle,Jordan Peugeot,64,1:22.043
7,4,Mika Hakkinen,McLaren Mercedes,69,1:22.283
11,5,Rubens Barrichello,Jordan Peugeot,52,1:22.359
19,6,Mika Salo,Tyrrell Yamaha,61,1:22.483
18,7,Ukyo Katayama,Tyrrell Yamaha,63,1:22.722
9,8,Olivier Panis,Ligier Mugen Honda,61,1:22.743
1,9,Michael Schumacher,Ferrari,55,1:22.889
2,10,Eddie Irvine,Ferrari,69,1:23.062
20,11,Pedro Lamy,Minardi Ford,67,1:23.559
10,12,Pedro Diniz,Ligier Mugen Honda,53,1:23.576
22,13,Luca Badoer,Forti Ford,55,1:25.627
17,14,Jos Verstappen,Footwork Hart,14,1:35.435
15,15,Heinz-Harald Frentzen,Sauber Ford,25,1:36.166
8,16,David Coulthard,McLaren Mercedes,24,1:36.245
6,17,Jacques Villeneuve,Williams Renault,24,1:36.383
16,18,Ricardo Rosset,Footwork Hart,24,1:36.981
4,19,Gerhard Berger,Benetton Renault,24,1:36.998
14,20,Johnny Herbert,Sauber Ford,23,1:38.127
23,21,Andrea Montermini,Forti Ford,22,1:40.661
