,Position,Driver,Car,Lap,Time
28,1,Gerhard Berger,Ferrari,49,1:26.986
6,2,Nelson Piquet,Williams Honda,49,1:27.108
7,3,Riccardo Patrese,Brabham BMW,67,1:27.150
1,4,Alain Prost,McLaren TAG,30,1:27.459
27,5,Michele Alboreto,Ferrari,54,1:27.738
2,6,Stefan Johansson,McLaren TAG,59,1:28.133
20,7,Thierry Boutsen,Benetton Ford,65,1:28.299
5,8,Nigel Mansell,Williams Honda,45,1:28.444
19,9,Teo Fabi,Benetton Ford,32,1:29.319
18,10,Eddie  Cheever,Arrows Megatron,46,1:29.934
12,11,Ayrton Senna,Lotus Honda,20,1:30.088
30,12,Philippe Alliot,Lola Ford,50,1:30.365
16,13,Ivan Capelli,March Ford,61,1:30.407
3,14,Jonathan  Palmer,Tyrrell Ford,50,1:30.514
8,15,Andrea de Cesaris,Brabham BMW,23,1:30.670
24,16,Alessandro Nannini,Minardi Motori Moderni,19,1:30.722
17,17,Derek Warwick,Arrows Megatron,41,1:31.105
11,18,Satoru Nakajima,Lotus Honda,42,1:31.228
4,19,Philippe Streiff,Tyrrell Ford,50,1:31.279
9,20,Martin Brundle,Zakspeed,44,1:31.373
10,21,Christian Danner,Zakspeed,19,1:32.074
26,22,Piercarlo Ghinzani,Ligier Megatron,20,1:32.604
25,23,Rene Arnoux,Ligier Megatron,50,1:32.650
32,24,Nicola Larini,Coloni Ford,7,1:33.108
23,25,Adrian Campos,Minardi Motori Moderni,31,1:33.503
14,26,Pascal Fabre,AGS Ford,3,1:35.672
