,Position,Driver,Car,Laps,Time,Points
1,1,Michael Schumacher,Ferrari,69,1:24:04.888,10
6,2,Kimi Räikkönen,McLaren Mercedes,69,+3.362s,8
2,3,Rubens Barrichello,Ferrari,69,+3.951s,6
17,4,Jenson Button,BAR Honda,69,+42.243s,5
5,5,David Coulthard,McLaren Mercedes,69,+59.740s,4
4,6,Ralf Schumacher,Williams BMW,68,+1 lap,3
14,7,Mark Webber,Jaguar Cosworth,68,+1 lap,2
7,8,Jarno Trulli,Renault,68,+1 lap,1
15,9,Antonio Pizzonia,Jaguar Cosworth,68,+1 lap,0
21,10,Cristiano da Matta,Toyota,68,+1 lap,0
12,11,Ralph Firman,Jordan Ford,68,+1 lap,0
16,12,Jacques Villeneuve,BAR Honda,68,+1 lap,0
18,13,Justin Wilson,Minardi Cosworth,67,+2 laps,0
11,NC,Giancarlo Fisichella,Jordan Ford,60,DNF,0
9,NC,Nick Heidfeld,Sauber Petronas,46,DNF,0
8,NC,Fernando Alonso,Renault,44,DNF,0
3,NC,Juan Pablo Montoya,Williams BMW,32,DNF,0
20,NC,Olivier Panis,Toyota,6,DNF,0
19,NC,Jos Verstappen,Minardi Cosworth,0,DNF,0
10,NC,Heinz-Harald Frentzen,Sauber Petronas,,DNS,0
