,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Ferrari,1:09.150,3
6,2,Kimi Räikkönen,McLaren Mercedes,1:09.189,3
3,3,Juan Pablo Montoya,Williams BMW,1:09.391,3
9,4,Nick Heidfeld,Sauber Petronas,1:09.725,3
2,5,Rubens Barrichello,Ferrari,1:09.784,3
7,6,Jarno Trulli,Renault,1:09.890,3
17,7,Jenson Button,BAR Honda,1:09.935,3
15,8,Antonio Pizzonia,Jaguar Cosworth,1:10.045,3
11,9,Giancarlo Fisichella,Jordan Ford,1:10.105,3
4,10,Ralf Schumacher,Williams BMW,1:10.279,3
20,11,Olivier Panis,Toyota,1:10.402,3
16,12,Jacques Villeneuve,BAR Honda,1:10.618,3
21,13,Cristiano da Matta,Toyota,1:10.834,3
5,14,David Coulthard,McLaren Mercedes,1:10.893,3
10,15,Heinz-Harald Frentzen,Sauber Petronas,1:11.307,3
12,16,Ralph Firman,Jordan Ford,1:11.505,3
14,17,Mark Webber,Jaguar Cosworth,1:11.662,3
18,18,Justin Wilson,Minardi Cosworth,1:14.508,3
8,19,Fernando Alonso,Renault,1:20.113,3
19,20,Jos Verstappen,Minardi Cosworth,,2
