,Position,Driver,Car,Lap,Time,Avg Speed
1,1,Michael Schumacher,Ferrari,41,1:08.337,227.894
2,2,Rubens Barrichello,Ferrari,44,1:08.913,225.989
14,3,Mark Webber,Jaguar Cosworth,68,1:08.966,225.815
6,4,Kimi Räikkönen,McLaren Mercedes,45,1:09.423,224.329
5,5,David Coulthard,McLaren Mercedes,64,1:09.626,223.675
16,6,Jacques Villeneuve,BAR Honda,64,1:09.764,223.232
17,7,Jenson Button,BAR Honda,22,1:09.828,223.028
15,8,Antonio Pizzonia,Jaguar Cosworth,67,1:09.978,222.549
3,9,Juan Pablo Montoya,Williams BMW,28,1:10.112,222.124
4,10,Ralf Schumacher,Williams BMW,40,1:10.246,221.700
7,11,Jarno Trulli,Renault,68,1:10.358,221.347
21,12,Cristiano da Matta,Toyota,67,1:10.466,221.008
9,13,Nick Heidfeld,Sauber Petronas,12,1:10.516,220.852
8,14,Fernando Alonso,Renault,34,1:10.526,220.820
12,15,Ralph Firman,Jordan Ford,68,1:10.659,220.405
11,16,Giancarlo Fisichella,Jordan Ford,60,1:11.019,219.287
18,17,Justin Wilson,Minardi Cosworth,67,1:11.267,218.524
20,18,Olivier Panis,Toyota,6,1:13.097,213.053
