,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian Vettel,Red Bull Racing Renault,1:46.397,1:44.931,1:44.381,12
2,2,Mark Webber,Red Bull Racing Renault,1:47.332,1:45.651,1:44.732,14
4,3,Jenson Button,McLaren Mercedes,1:46.956,1:45.472,1:44.804,14
3,4,Lewis Hamilton,McLaren Mercedes,1:47.014,1:46.829,1:44.809,12
5,5,Fernando Alonso,Ferrari,1:47.054,1:45.779,1:44.874,13
6,6,Felipe Massa,Ferrari,1:47.945,1:45.955,1:45.800,14
8,7,Nico Rosberg,Mercedes,1:47.688,1:46.405,1:46.013,11
7,8,Michael Schumacher,Mercedes,1:48.819,1:46.043,DNS,11
14,9,Adrian Sutil,Force India Mercedes,1:47.952,1:47.093,,14
15,10,Paul di Resta,Force India Mercedes,1:48.022,1:47.486,,14
17,11,Sergio Perez,Sauber Ferrari,1:47.717,1:47.616,,13
11,12,Rubens Barrichello,Williams Cosworth,1:48.061,1:48.082,,14
12,13,Pastor Maldonado,Williams Cosworth,1:49.710,1:48.270,,16
18,14,Sebastien Buemi,STR Ferrari,1:48.753,1:48.634,,11
9,15,Bruno Senna,Renault,1:48.861,1:48.662,,13
19,16,Jaime Alguersuari,STR Ferrari,1:49.588,1:49.862,,10
16,17,Kamui Kobayashi,Sauber Ferrari,1:48.054,DNF,,8
10,18,Vitaly Petrov,Renault,1:49.835,,,8
20,19,Heikki Kovalainen,Lotus Renault,1:50.948,,,6
21,20,Jarno Trulli,Lotus Renault,1:51.012,,,6
24,21,Timo Glock,Virgin Cosworth,1:52.154,,,7
25,22,Jerome d'Ambrosio,Virgin Cosworth,1:52.363,,,6
22,23,Daniel Ricciardo,HRT Cosworth,1:52.404,,,6
23,24,Vitantonio Liuzzi,HRT Cosworth,1:52.810,,,6
