,Position,Driver,Car,Lap,Time,Avg Speed
6,1,Juan Pablo Montoya,Williams BMW,20,1:41.808,241.336
5,2,Ralf Schumacher,Williams BMW,17,1:42.048,240.769
2,3,Rubens Barrichello,Ferrari,10,1:42.638,239.385
1,4,Michael Schumacher,Ferrari,21,1:42.853,238.884
9,5,Olivier Panis,BAR Honda,30,1:43.329,237.784
10,6,Jacques Villeneuve,BAR Honda,21,1:43.448,237.510
3,7,Mika Hakkinen,McLaren Mercedes,4,1:43.516,237.354
4,8,David Coulthard,McLaren Mercedes,26,1:43.571,237.228
12,9,Jarno Trulli,Jordan Honda,33,1:43.740,236.842
7,10,Giancarlo Fisichella,Benetton Renault,34,1:43.999,236.252
8,11,Jenson Button,Benetton Renault,31,1:44.051,236.134
22,12,Jean Alesi,Prost Acer,42,1:44.135,235.943
17,13,Kimi Räikkönen,Sauber Petronas,10,1:44.365,235.423
18,14,Eddie Irvine,Jaguar Cosworth,11,1:44.415,235.311
14,15,Jos Verstappen,Arrows Asiatech,35,1:44.681,234.713
23,16,Luciano Burti,Prost Acer,17,1:44.683,234.708
15,17,Enrique Bernoldi,Arrows Asiatech,31,1:44.785,234.480
11,18,Ricardo Zonta,Jordan Honda,4,1:45.591,232.690
21,19,Fernando Alonso,Minardi European,4,1:45.908,231.993
20,20,Tarso Marques,Minardi European,12,1:46.013,231.764
