,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian Vettel,Red Bull Racing Renault,1:26.387,1:25.435,1:25.283,13
2,2,Mark Webber,Red Bull Racing Renault,1:26.744,1:25.610,1:25.327,17
4,3,Lewis Hamilton,McLaren Mercedes,1:26.516,1:25.816,1:25.544,23
3,4,Jenson Button,McLaren Mercedes,1:26.564,1:25.467,1:25.659,21
5,5,Fernando Alonso,Ferrari,1:26.829,1:25.834,1:25.773,21
6,6,Felipe Massa,Ferrari,1:26.939,1:26.111,1:25.857,18
9,7,Kimi Räikkönen,Lotus Renault,1:26.740,1:26.101,1:26.236,25
15,8,Sergio Perez,Sauber Ferrari,1:27.179,1:26.076,1:26.360,23
18,9,Pastor Maldonado,Williams Renault,1:26.048,1:25.983,1:26.713,24
8,10,Nico Rosberg,Mercedes,1:26.458,1:25.976,DNF,23
10,11,Romain Grosjean,Lotus Renault,1:26.897,1:26.136,,16
12,12,Nico Hulkenberg,Force India Mercedes,1:27.185,1:26.241,,20
19,13,Bruno Senna,Williams Renault,1:26.851,1:26.331,,19
7,14,Michael Schumacher,Mercedes,1:27.482,1:26.574,,19
16,15,Daniel Ricciardo,STR Ferrari,1:27.006,1:26.777,,19
11,16,Paul di Resta,Force India Mercedes,1:27.462,1:26.989,,19
14,17,Kamui Kobayashi,Sauber Ferrari,1:27.517,1:27.219,,17
17,18,Jean-Eric Vergne,STR Ferrari,1:27.525,,,11
21,19,Vitaly Petrov,Caterham Renault,1:28.756,,,10
20,20,Heikki Kovalainen,Caterham Renault,1:29.500,,,10
24,21,Timo Glock,Marussia Cosworth,1:29.613,,,11
22,22,Pedro de la Rosa,HRT Cosworth,1:30.592,,,8
23,23,Narain Karthikeyan,HRT Cosworth,1:30.593,,,10
25,24,Charles Pic,Marussia Cosworth,1:30.662,,,11
