,Position,Driver,Car,Laps,Time,Points
1,1,Sebastian Vettel,Red Bull Racing Renault,60,1:31:10.744,25
5,2,Fernando Alonso,Ferrari,60,+9.437s,18
2,3,Mark Webber,Red Bull Racing Renault,60,+13.217s,15
4,4,Lewis Hamilton,McLaren Mercedes,60,+13.909s,12
3,5,Jenson Button,McLaren Mercedes,60,+26.266s,10
6,6,Felipe Massa,Ferrari,60,+44.674s,8
9,7,Kimi Räikkönen,Lotus Renault,60,+45.227s,6
12,8,Nico Hulkenberg,Force India Mercedes,60,+54.998s,4
10,9,Romain Grosjean,Lotus Renault,60,+56.103s,2
19,10,Bruno Senna,Williams Renault,60,+74.975s,1
8,11,Nico Rosberg,Mercedes,60,+81.694s,0
11,12,Paul di Resta,Force India Mercedes,60,+82.815s,0
16,13,Daniel Ricciardo,STR Ferrari,60,+86.064s,0
14,14,Kamui Kobayashi,Sauber Ferrari,60,+86.495s,0
17,15,Jean-Eric Vergne,STR Ferrari,59,+1 lap,0
18,16,Pastor Maldonado,Williams Renault,59,+1 lap,0
21,17,Vitaly Petrov,Caterham Renault,59,+1 lap,0
20,18,Heikki Kovalainen,Caterham Renault,59,+1 lap,0
25,19,Charles Pic,Marussia Cosworth,59,+1 lap,0
24,20,Timo Glock,Marussia Cosworth,58,+2 laps,0
23,21,Narain Karthikeyan,HRT Cosworth,58,+2 laps,0
7,22,Michael Schumacher,Mercedes,55,DNF,0
22,NC,Pedro de la Rosa,HRT Cosworth,42,DNF,0
15,NC,Sergio Perez,Sauber Ferrari,20,DNF,0
