,Position,Driver,Car,Time
1,1,Sebastian Vettel,Red Bull Racing Renault,1:25.283
2,2,Mark Webber,Red Bull Racing Renault,1:25.327
4,3,Lewis Hamilton,McLaren Mercedes,1:25.544
3,4,Jenson Button,McLaren Mercedes,1:25.659
5,5,Fernando Alonso,Ferrari,1:25.773
6,6,Felipe Massa,Ferrari,1:25.857
9,7,Kimi Räikkönen,Lotus Renault,1:26.236
15,8,Sergio Perez,Sauber Ferrari,1:26.360
18,9,Pastor Maldonado,Williams Renault,1:26.713
8,10,Nico Rosberg,Mercedes,
10,11,Romain Grosjean,Lotus Renault,1:26.136
12,12,Nico Hulkenberg,Force India Mercedes,1:26.241
19,13,Bruno Senna,Williams Renault,1:26.331
7,14,Michael Schumacher,Mercedes,1:26.574
16,15,Daniel Ricciardo,STR Ferrari,1:26.777
11,16,Paul di Resta,Force India Mercedes,1:26.989
14,17,Kamui Kobayashi,Sauber Ferrari,1:27.219
17,18,Jean-Eric Vergne,STR Ferrari,1:27.525
21,19,Vitaly Petrov,Caterham Renault,1:28.756
20,20,Heikki Kovalainen,Caterham Renault,1:29.500
24,21,Timo Glock,Marussia Cosworth,1:29.613
22,22,Pedro de la Rosa,HRT Cosworth,1:30.592
23,23,Narain Karthikeyan,HRT Cosworth,1:30.593
25,24,Charles Pic,Marussia Cosworth,1:30.662
