,Position,Driver,Car,Time / Gap
6,1,Riccardo Patrese,Williams Renault,1:14.857
27,2,Ayrton Senna,McLaren Honda,+0.031s
19,3,Alessandro Nannini,Benetton Ford,+0.192s
2,4,Nigel Mansell,Ferrari,+0.262s
4,5,Jean Alesi,Tyrrell Ford,+0.370s
29,6,Eric Bernard,Lola Lamborghini,+0.620s
1,7,Alain Prost,Ferrari,+1.342s
20,8,Nelson Piquet,Benetton Ford,+1.695s
5,9,Thierry Boutsen,Williams Renault,+2.123s
9,10,Michele Alboreto,Arrows Ford,+2.205s
15,11,Mauricio Gugelmin,Leyton House Judd,+2.249s
23,12,Pierluigi Martini,Minardi Ford,+2.275s
30,13,Aguri Suzuki,Lola Lamborghini,+2.320s
10,14,Alex Caffi,Arrows Ford,+2.441s
21,15,Emanuele Pirro,Dallara Ford,+2.442s
22,16,Andrea de Cesaris,Dallara Ford,+2.454s
26,17,Philippe Alliot,Ligier Ford,+2.780s
11,18,Derek Warwick,Lotus Lamborghini,+2.918s
18,19,Yannick Dalmas,AGS Ford,+3.292s
12,20,Martin Donnelly,Lotus Lamborghini,+3.346s
14,21,Olivier Grouillard,Osella Ford,+3.416s
16,22,Ivan Capelli,Leyton House Judd,+3.774s
25,23,Nicola Larini,Ligier Ford,+3.807s
17,24,Gabriele Tarquini,AGS Ford,+3.849s
28,25,Gerhard Berger,McLaren Honda,+3.942s
24,26,Paolo Barilla,Minardi Ford,+4.246s
7,27,David Brabham,Brabham Judd,+4.257s
8,28,Stefano Modena,Brabham Judd,+4.859s
31,29,Bertrand Gachot,Coloni Ford,+5.802s
