,Position,Driver,Car,Time / Gap
27,1,Ayrton Senna,McLaren Honda,1:15.529
28,2,Gerhard Berger,McLaren Honda,+0.346s
6,3,Riccardo Patrese,Williams Renault,+0.461s
1,4,Alain Prost,Ferrari,+0.494s
2,5,Nigel Mansell,Ferrari,+0.564s
19,6,Alessandro Nannini,Benetton Ford,+0.933s
4,7,Jean Alesi,Tyrrell Ford,+0.942s
30,8,Aguri Suzuki,Lola Lamborghini,+1.103s
20,9,Nelson Piquet,Benetton Ford,+1.139s
23,10,Pierluigi Martini,Minardi Ford,+1.775s
3,11,Satoru Nakajima,Tyrrell Ford,+1.973s
5,12,Thierry Boutsen,Williams Renault,+2.170s
22,13,Andrea de Cesaris,Dallara Ford,+2.453s
12,14,Martin Donnelly,Lotus Lamborghini,+2.687s
11,15,Derek Warwick,Lotus Lamborghini,+2.893s
8,16,Stefano Modena,Brabham Judd,+2.946s
26,17,Philippe Alliot,Ligier Ford,+3.019s
9,18,Michele Alboreto,Arrows Ford,+3.313s
10,19,Alex Caffi,Arrows Ford,+3.434s
18,20,Yannick Dalmas,AGS Ford,+3.600s
15,21,Mauricio Gugelmin,Leyton House Judd,+3.816s
24,22,Paolo Barilla,Minardi Ford,+3.923s
25,23,Nicola Larini,Ligier Ford,+4.196s
16,24,Ivan Capelli,Leyton House Judd,+5.102s
14,25,Olivier Grouillard,Osella Ford,+5.125s
21,26,Emanuele Pirro,Dallara Ford,+5.146s
7,27,David Brabham,Brabham Judd,+5.180s
31,28,Bertrand Gachot,Coloni Ford,+5.432s
17,29,Gabriele Tarquini,AGS Ford,+6.607s
29,30,Eric Bernard,Lola Lamborghini,+6.976s
