,Position,Driver,Car,Lap,Time
6,1,Riccardo Patrese,Williams Renault,56,1:18.306
19,2,Alessandro Nannini,Benetton Ford,59,1:18.355
1,3,Alain Prost,Ferrari,52,1:18.396
28,4,Gerhard Berger,McLaren Honda,52,1:18.438
2,5,Nigel Mansell,Ferrari,49,1:18.577
27,6,Ayrton Senna,McLaren Honda,48,1:18.936
20,7,Nelson Piquet,Benetton Ford,54,1:19.713
30,8,Aguri Suzuki,Lola Lamborghini,41,1:20.349
5,9,Thierry Boutsen,Williams Renault,29,1:20.575
9,10,Michele Alboreto,Arrows Ford,55,1:20.792
26,11,Philippe Alliot,Ligier Ford,41,1:20.914
4,12,Jean Alesi,Tyrrell Ford,32,1:20.916
25,13,Nicola Larini,Ligier Ford,55,1:20.958
23,14,Pierluigi Martini,Minardi Ford,35,1:21.186
16,15,Ivan Capelli,Leyton House Judd,47,1:21.623
10,16,Alex Caffi,Arrows Ford,33,1:21.843
15,17,Mauricio Gugelmin,Leyton House Judd,32,1:21.894
21,18,Emanuele Pirro,Dallara Ford,40,1:22.231
7,19,David Brabham,Brabham Judd,28,1:22.275
29,20,Eric Bernard,Lola Lamborghini,21,1:22.434
12,21,Martin Donnelly,Lotus Lamborghini,11,1:22.625
8,22,Stefano Modena,Brabham Judd,18,1:23.232
11,23,Derek Warwick,Lotus Lamborghini,4,1:23.510
18,24,Yannick Dalmas,AGS Ford,3,1:24.879
