,Position,Driver,Car,Time
1,1,Sebastian Vettel,Red Bull Racing Renault,1:24.119
9,2,Nico Rosberg,Mercedes,1:24.871
10,3,Lewis Hamilton,Mercedes,1:24.941
2,4,Mark Webber,Red Bull Racing Renault,1:25.047
4,5,Felipe Massa,Ferrari,1:25.201
7,6,Kimi Räikkönen,Lotus Renault,1:25.248
11,7,Nico Hulkenberg,Sauber Ferrari,1:25.334
3,8,Fernando Alonso,Ferrari,1:25.826
6,9,Sergio Perez,McLaren Mercedes,1:26.153
5,10,Jenson Button,McLaren Mercedes,1:26.487
19,11,Daniel Ricciardo,STR Ferrari,1:25.519
14,12,Paul di Resta,Force India Mercedes,1:25.711
15,13,Adrian Sutil,Force India Mercedes,1:25.740
18,14,Jean-Eric Vergne,STR Ferrari,1:25.798
17,15,Valtteri Bottas,Williams Renault,1:26.134
12,16,Esteban Gutierrez ,Sauber Ferrari,1:26.336
8,17,Romain Grosjean,Lotus Renault,1:26.577
16,18,Pastor Maldonado,Williams Renault,1:26.842
22,19,Jules Bianchi,Marussia Cosworth,1:26.970
21,20,Giedo van der Garde,Caterham Renault,1:27.105
20,21,Charles Pic,Caterham Renault,1:27.487
23,22,Max Chilton,Marussia Cosworth,1:28.138
