,Position,Driver,Car,Time / Gap,Laps
1,1,Sebastian Vettel,Red Bull Racing Renault,1:25.722,35
2,2,Mark Webber,Red Bull Racing Renault,+0.289s,38
8,3,Romain Grosjean,Lotus Renault,+0.498s,36
10,4,Lewis Hamilton,Mercedes,+0.677s,36
3,5,Fernando Alonso,Ferrari,+0.708s,39
9,6,Nico Rosberg,Mercedes,+0.860s,40
4,7,Felipe Massa,Ferrari,+0.879s,41
7,8,Kimi Räikkönen,Lotus Renault,+0.910s,32
6,9,Sergio Perez,McLaren Mercedes,+1.135s,40
5,10,Jenson Button,McLaren Mercedes,+1.250s,39
19,11,Daniel Ricciardo,STR Ferrari,+1.582s,17
15,12,Adrian Sutil,Force India Mercedes,+1.653s,36
17,13,Valtteri Bottas,Williams Renault,+1.707s,31
11,14,Nico Hulkenberg,Sauber Ferrari,+1.769s,40
14,15,Paul di Resta,Force India Mercedes,+1.886s,38
16,16,Pastor Maldonado,Williams Renault,+1.998s,23
12,17,Esteban Gutierrez ,Sauber Ferrari,+2.227s,34
18,18,Jean-Eric Vergne,STR Ferrari,+2.709s,30
21,19,Giedo van der Garde,Caterham Renault,+2.970s,39
22,20,Jules Bianchi,Marussia Cosworth,+3.077s,32
20,21,Charles Pic,Caterham Renault,+3.644s,37
23,22,Max Chilton,Marussia Cosworth,+4.442s,27
