,Position,Driver,Car,Q1,Q2,Q3,Laps
1,1,Sebastian Vettel,Red Bull Racing Renault,1:25.943,1:24.568,1:24.119,12
9,2,Nico Rosberg,Mercedes,1:25.833,1:25.304,1:24.871,21
10,3,Lewis Hamilton,Mercedes,1:25.802,1:25.259,1:24.941,20
2,4,Mark Webber,Red Bull Racing Renault,1:25.665,1:25.097,1:25.047,17
4,5,Felipe Massa,Ferrari,1:25.793,1:25.389,1:25.201,19
7,6,Kimi Räikkönen,Lotus Renault,1:25.819,1:25.191,1:25.248,18
11,7,Nico Hulkenberg,Sauber Ferrari,1:25.883,1:25.339,1:25.334,19
3,8,Fernando Alonso,Ferrari,1:25.934,1:24.885,1:25.826,15
6,9,Sergio Perez,McLaren Mercedes,1:26.107,1:25.365,1:26.153,21
5,10,Jenson Button,McLaren Mercedes,1:25.574,1:25.458,1:26.487,23
19,11,Daniel Ricciardo,STR Ferrari,1:25.673,1:25.519,,14
14,12,Paul di Resta,Force India Mercedes,1:25.908,1:25.711,,15
15,13,Adrian Sutil,Force India Mercedes,1:26.164,1:25.740,,16
18,14,Jean-Eric Vergne,STR Ferrari,1:26.155,1:25.798,,14
17,15,Valtteri Bottas,Williams Renault,1:26.178,1:26.134,,15
12,16,Esteban Gutierrez ,Sauber Ferrari,1:26.057,1:26.336,,11
8,17,Romain Grosjean,Lotus Renault,1:26.577,,,7
16,18,Pastor Maldonado,Williams Renault,1:26.842,,,9
22,19,Jules Bianchi,Marussia Cosworth,1:26.970,,,8
21,20,Giedo van der Garde,Caterham Renault,1:27.105,,,6
20,21,Charles Pic,Caterham Renault,1:27.487,,,7
23,22,Max Chilton,Marussia Cosworth,1:28.138,,,8
