,Position,Driver,Car,Laps,Time,Points
1,1,Sebastian Vettel,Red Bull Racing Renault,60,1:31:12.187,25
9,2,Nico Rosberg,Mercedes,60,+29.823s,18
8,3,Romain Grosjean,Lotus Renault,60,+39.892s,15
4,4,Felipe Massa,Ferrari,60,+41.692s,12
6,5,Sergio Perez,McLaren Mercedes,60,+43.829s,10
10,6,Lewis Hamilton,Mercedes,60,+52.475s,8
7,7,Kimi Räikkönen,Lotus Renault,60,+67.988s,6
14,8,Paul di Resta,Force India Mercedes,60,+72.868s,4
15,9,Adrian Sutil,Force India Mercedes,60,+74.734s,2
19,10,Daniel Ricciardo,STR Ferrari,60,+76.237s,1
3,11,Fernando Alonso,Ferrari,60,+78.297s,0
16,12,Pastor Maldonado,Williams Renault,60,+78.951s,0
18,13,Jean-Eric Vergne,STR Ferrari,59,+1 lap,0
5,14,Jenson Button,McLaren Mercedes,59,+1 lap,0
12,15,Esteban Gutierrez ,Sauber Ferrari,59,+1 lap,0
17,16,Valtteri Bottas,Williams Renault,59,+1 lap,0
23,17,Max Chilton,Marussia Cosworth,58,+2 laps,0
22,18,Jules Bianchi,Marussia Cosworth,58,+2 laps,0
11,19,Nico Hulkenberg,Sauber Ferrari,54,DNF,0
2,NC,Mark Webber,Red Bull Racing Renault,39,DNF,0
20,NC,Charles Pic,Caterham Renault,35,DNF,0
21,NC,Giedo van der Garde,Caterham Renault,1,DNF,0
