,Position,Driver,Car,Lap,Time,Avg Speed
7,1,Kimi Räikkönen,Lotus Renault,60,1:27.679,210.426
1,2,Sebastian Vettel,Red Bull Racing Renault,54,1:28.116,209.383
15,3,Adrian Sutil,Force India Mercedes,60,1:28.419,208.665
6,4,Sergio Perez,McLaren Mercedes,59,1:28.503,208.467
12,5,Esteban Gutierrez ,Sauber Ferrari,49,1:28.682,208.046
3,6,Fernando Alonso,Ferrari,58,1:28.709,207.983
8,7,Romain Grosjean,Lotus Renault,57,1:28.796,207.779
5,8,Jenson Button,McLaren Mercedes,57,1:28.814,207.737
9,9,Nico Rosberg,Mercedes,49,1:28.816,207.732
19,10,Daniel Ricciardo,STR Ferrari,60,1:28.831,207.697
4,11,Felipe Massa,Ferrari,54,1:28.886,207.569
17,12,Valtteri Bottas,Williams Renault,52,1:28.928,207.471
11,13,Nico Hulkenberg,Sauber Ferrari,52,1:28.947,207.426
16,14,Pastor Maldonado,Williams Renault,56,1:29.012,207.275
10,15,Lewis Hamilton,Mercedes,53,1:29.052,207.182
18,16,Jean-Eric Vergne,STR Ferrari,53,1:29.280,206.653
14,17,Paul di Resta,Force India Mercedes,58,1:29.300,206.606
2,18,Mark Webber,Red Bull Racing Renault,30,1:29.500,206.145
22,19,Jules Bianchi,Marussia Cosworth,57,1:30.171,204.611
23,20,Max Chilton,Marussia Cosworth,56,1:30.335,204.239
20,21,Charles Pic,Caterham Renault,32,1:32.907,198.585
