,Position,Driver,Car,Time,Laps
3,1,Jacques Villeneuve,Williams Renault,1:23.303,11
4,2,Heinz-Harald Frentzen,Williams Renault,1:23.646,12
5,3,Michael Schumacher,Ferrari,1:23.955,11
14,4,Olivier Panis,Prost Mugen Honda,1:24.075,12
11,5,Ralf Schumacher,Jordan Peugeot,1:24.081,11
12,6,Giancarlo Fisichella,Jordan Peugeot,1:24.596,11
16,7,Johnny Herbert,Sauber Petronas,1:24.723,12
9,8,Mika Hakkinen,McLaren Mercedes,1:24.812,12
6,9,Eddie Irvine,Ferrari,1:24.861,12
10,10,David Coulthard,McLaren Mercedes,1:25.077,12
8,11,Gerhard Berger,Benetton Renault,1:25.371,11
17,12,Nicola Larini,Sauber Petronas,1:25.544,11
22,13,Rubens Barrichello,Stewart Ford,1:25.579,12
7,14,Jean Alesi,Benetton Renault,1:25.729,10
1,15,Damon Hill,Arrows Yamaha,1:25.743,11
23,16,Jan Magnussen,Stewart Ford,1:26.192,8
2,17,Pedro Diniz,Arrows Yamaha,1:26.253,11
15,18,Shinji Nakano,Prost Mugen Honda,1:26.712,12
19,19,Mika Salo,Tyrrell Ford,1:26.852,12
21,20,Jarno Trulli,Minardi Hart,1:26.960,12
18,21,Jos Verstappen,Tyrrell Ford,1:27.428,10
20,22,Ukyo Katayama,Minardi Hart,1:28.727,11
