,Position,Driver,Car,Lap,Time
4,1,Heinz-Harald Frentzen,Williams Renault,42,1:25.531
5,2,Michael Schumacher,Ferrari,61,1:25.537
3,3,Jacques Villeneuve,Williams Renault,21,1:25.997
10,4,David Coulthard,McLaren Mercedes,33,1:26.067
12,5,Giancarlo Fisichella,Jordan Peugeot,23,1:26.620
17,6,Nicola Larini,Sauber Petronas,43,1:26.753
9,7,Mika Hakkinen,McLaren Mercedes,29,1:26.791
6,8,Eddie Irvine,Ferrari,45,1:26.811
7,9,Jean Alesi,Benetton Renault,30,1:27.091
11,10,Ralf Schumacher,Jordan Peugeot,17,1:27.217
16,11,Johnny Herbert,Sauber Petronas,17,1:27.594
22,12,Rubens Barrichello,Stewart Ford,28,1:27.741
2,13,Pedro Diniz,Arrows Yamaha,45,1:27.793
14,14,Olivier Panis,Prost Mugen Honda,27,1:28.064
19,15,Mika Salo,Tyrrell Ford,32,1:28.189
18,16,Jos Verstappen,Tyrrell Ford,54,1:28.886
1,17,Damon Hill,Arrows Yamaha,8,1:29.237
20,18,Ukyo Katayama,Minardi Hart,59,1:29.554
15,19,Shinji Nakano,Prost Mugen Honda,11,1:30.554
8,20,Gerhard Berger,Benetton Renault,4,1:33.513
23,21,Jan Magnussen,Stewart Ford,2,1:36.710
