,Position,Driver,Car,Time
7,1,Martin Brundle,Brabham Judd,1:21.770
1,1,Ayrton Senna,McLaren Honda,1:17.876
8,2,Stefano Modena,Brabham Judd,1:22.211
2,2,Alain Prost,McLaren Honda,1:18.773
27,3,Nigel Mansell,Ferrari,1:19.137
21,3,Alex Caffi,Dallara Ford,1:22.876
16,4,Ivan Capelli,March Judd,1:19.337
36,4,Stefan Johansson,Onyx Ford,1:23.288
6,5,Riccardo Patrese,Williams Renault,1:19.656
37,5,Bertrand Gachot,Onyx Ford,1:23.752
28,6,Gerhard Berger,Ferrari,1:19.835
33,6,Gregor Foitek,Euro Brun Judd,1:24.351
4,7,Michele Alboreto,Tyrrell Ford,1:20.066
17,7,Nicola Larini,Osella Ford,1:24.392
5,8,Thierry Boutsen,Williams Renault,1:20.234
39,8,Volker Weidler,Rial Ford,1:24.966
34,9,Bernd Schneider,Zakspeed Yamaha,1:25.418
9,10,Derek Warwick,Arrows Ford,1:20.601
35,10,Aguri Suzuki,Zakspeed Yamaha,1:25.658
26,11,Olivier Grouillard,Ligier Ford,1:20.859
18,11,Piercarlo Ghinzani,Osella Ford,1:26.065
41,12,Joachim Winkelhock,AGS Ford,1:26.754
22,12,Andrea de Cesaris,Dallara Ford,1:20.873
19,13,Alessandro Nannini,Benetton Ford,1:20.888
32,13,Pierre Henri Raphanel,Coloni Ford,1:34.357
3,14,Jonathan  Palmer,Tyrrell Ford,1:20.888
12,15,Satoru Nakajima,Lotus Judd,1:20.943
30,16,Philippe Alliot,Lola Lamborghini,1:21.031
40,17,Gabriele Tarquini,AGS Ford,1:21.031
20,18,Johnny Herbert,Benetton Ford,1:21.105
23,22,Pierluigi Martini,Minardi Ford,1:21.471
38,23,Christian Danner,Rial Ford,1:21.696
10,24,Eddie  Cheever,Arrows Ford,1:21.716
25,25,Rene Arnoux,Ligier Ford,1:21.830
11,26,Nelson Piquet,Lotus Judd,1:21.831
24,27,Luis Perez-Sala,Minardi Ford,1:21.935
15,28,Mauricio Gugelmin,March Judd,1:22.081
29,29,Yannick Dalmas,Lola Lamborghini,1:25.651
31,30,Roberto Moreno,Coloni Ford,3:34.095
