,Position,Driver,Car,Time / Gap,Laps
33,1,Max Verstappen,Red Bull Racing Honda,1:33.162,29
16,2,Charles Leclerc,Ferrari,+0.335s,33
77,3,Valtteri Bottas,Mercedes,+0.646s,22
44,4,Lewis Hamilton,Mercedes,+0.798s,32
5,5,Sebastian Vettel,Ferrari,+1.039s,32
10,6,Pierre Gasly,Scuderia Toro Rosso Honda,+1.809s,26
11,7,Sergio Perez,Racing Point BWT Mercedes,+1.836s,31
27,8,Nico Hulkenberg,Renault,+1.864s,33
18,9,Lance Stroll,Racing Point BWT Mercedes,+2.014s,31
23,10,Alexander Albon,Red Bull Racing Honda,+2.054s,18
4,11,Lando Norris,McLaren Renault,+2.061s,33
26,12,Daniil Kvyat,Scuderia Toro Rosso Honda,+2.175s,38
20,13,Kevin Magnussen,Haas Ferrari,+2.189s,26
3,14,Daniel Ricciardo,Renault,+2.208s,28
7,15,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+2.212s,34
8,16,Romain Grosjean,Haas Ferrari,+2.431s,31
55,17,Carlos Sainz,McLaren Renault,+2.473s,29
99,18,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+2.842s,29
63,19,George Russell,Williams Mercedes,+3.623s,38
88,20,Robert Kubica,Williams Mercedes,+4.676s,36
