,Position,Driver,Car,Time
16,1,Charles Leclerc,Ferrari,1:31.628
44,2,Lewis Hamilton,Mercedes,1:32.030
5,3,Sebastian Vettel,Ferrari,1:32.053
77,4,Valtteri Bottas,Mercedes,1:32.632
55,5,Carlos Sainz,McLaren Renault,1:33.222
27,6,Nico Hulkenberg,Renault,1:33.289
4,7,Lando Norris,McLaren Renault,1:33.301
8,8,Romain Grosjean,Haas Ferrari,1:33.517
33,9,Max Verstappen,Red Bull Racing Honda,1:32.310
3,10,Daniel Ricciardo,Renault,1:33.661
11,11,Sergio Perez,Racing Point BWT Mercedes,1:33.958
99,12,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,1:34.037
20,13,Kevin Magnussen,Haas Ferrari,1:34.082
18,14,Lance Stroll,Racing Point BWT Mercedes,1:34.233
7,15,Kimi Räikkönen,Alfa Romeo Racing Ferrari,1:34.840
10,16,Pierre Gasly,Scuderia Toro Rosso Honda,1:33.950
63,17,George Russell,Williams Mercedes,1:35.356
88,18,Robert Kubica,Williams Mercedes,1:36.474
26,19,Daniil Kvyat,Scuderia Toro Rosso Honda,
23,20,Alexander Albon,Red Bull Racing Honda,1:39.197
