,Position,Driver,Car,Time
29,1,Bertrand Gachot,Venturi Lamborghini,1:24.650
5,1,Nigel Mansell,Williams Renault,1:18.965
6,2,Riccardo Patrese,Williams Renault,1:20.884
15,2,Gabriele Tarquini,Fondmetal Ford,1:27.378
1,3,Ayrton Senna,McLaren Honda,1:21.706
30,3,Ukyo Katayama,Venturi Lamborghini,1:27.560
19,4,Michael Schumacher,Benetton Ford,1:22.066
14,4,Andrea Chiesa,Fondmetal Ford,1:28.965
34,5,Roberto Moreno,Moda Judd,1:30.592
2,5,Gerhard Berger,McLaren Honda,1:22.296
20,6,Martin Brundle,Benetton Ford,1:23.489
35,6,Perry McCarthy,Moda Judd,1:46.719
12,7,Johnny Herbert,Lotus Ford,1:23.605
27,8,Jean Alesi,Ferrari,1:23.723
11,9,Mika Hakkinen,Lotus Ford,1:23.813
26,10,Erik Comas,Ligier Renault,1:23.957
9,12,Michele Alboreto,Footwork Mugen Honda,1:24.198
25,13,Thierry Boutsen,Ligier Renault,1:24.545
28,14,Ivan Capelli,Ferrari,1:24.558
10,17,Aguri Suzuki,Footwork Mugen Honda,1:24.924
4,18,Andrea de Cesaris,Tyrrell Ilmor,1:24.984
21,19,Jyrki Jarvilehto,Dallara Ferrari,1:25.037
3,20,Olivier Grouillard,Tyrrell Ilmor,1:25.096
16,21,Karl Wendlinger,March Ilmor,1:25.123
22,22,Pierluigi Martini,Dallara Ferrari,1:25.221
32,23,Stefano Modena,Jordan Yamaha,1:25.362
33,24,Mauricio Gugelmin,Jordan Yamaha,1:25.988
24,25,Gianni Morbidelli,Minardi Lamborghini,1:25.998
8,26,Damon Hill,Brabham Judd,1:26.378
23,27,Alessandro Zanardi,Minardi Lamborghini,1:26.458
17,28,Paul Belmondo,March Ilmor,1:27.995
7,30,Eric van de Poele,Brabham Judd,1:28.719
