,Position,Driver,Car,Time / Gap
5,1,Nigel Mansell,Williams Renault,1:21.082
6,2,Riccardo Patrese,Williams Renault,+0.705s
1,3,Ayrton Senna,McLaren Honda,+1.289s
19,4,Michael Schumacher,Benetton Ford,+2.657s
2,5,Gerhard Berger,McLaren Honda,+3.008s
11,6,Mika Hakkinen,Lotus Ford,+3.149s
20,7,Martin Brundle,Benetton Ford,+3.492s
29,8,Bertrand Gachot,Venturi Lamborghini,+3.619s
25,9,Thierry Boutsen,Ligier Renault,+3.674s
3,10,Olivier Grouillard,Tyrrell Ilmor,+3.854s
27,11,Jean Alesi,Ferrari,+3.987s
12,12,Johnny Herbert,Lotus Ford,+3.997s
28,13,Ivan Capelli,Ferrari,+4.123s
32,14,Stefano Modena,Jordan Yamaha,+4.404s
4,15,Andrea de Cesaris,Tyrrell Ilmor,+4.421s
33,16,Mauricio Gugelmin,Jordan Yamaha,+4.622s
26,17,Erik Comas,Ligier Renault,+4.752s
9,18,Michele Alboreto,Footwork Mugen Honda,+4.781s
21,19,Jyrki Jarvilehto,Dallara Ferrari,+4.801s
30,20,Ukyo Katayama,Venturi Lamborghini,+4.908s
24,21,Gianni Morbidelli,Minardi Lamborghini,+5.285s
15,22,Gabriele Tarquini,Fondmetal Ford,+5.594s
16,23,Karl Wendlinger,March Ilmor,+5.713s
17,24,Paul Belmondo,March Ilmor,+5.833s
10,25,Aguri Suzuki,Footwork Mugen Honda,+6.005s
22,26,Pierluigi Martini,Dallara Ferrari,+6.154s
23,27,Alessandro Zanardi,Minardi Lamborghini,+6.330s
8,28,Damon Hill,Brabham Judd,+6.497s
7,29,Eric van de Poele,Brabham Judd,+7.419s
