,Position,Driver,Car,Lap,Time,Avg Speed
5,1,Felipe Massa,Ferrari,42,1:34.067,207.120
2,2,Lewis Hamilton,McLaren Mercedes,18,1:34.270,206.674
6,3,Kimi Räikkönen,Ferrari,39,1:34.357,206.483
1,4,Fernando Alonso,McLaren Mercedes,46,1:34.420,206.346
9,5,Nick Heidfeld,Sauber BMW,38,1:34.470,206.236
10,6,Robert Kubica,Sauber BMW,46,1:34.819,205.477
12,7,Jarno Trulli,Toyota,40,1:35.153,204.756
3,8,Giancarlo Fisichella,Renault,51,1:35.200,204.655
14,9,David Coulthard,Red Bull Renault,34,1:35.384,204.260
4,10,Heikki Kovalainen,Renault,27,1:35.475,204.065
16,11,Nico Rosberg,Williams Toyota,51,1:35.556,203.893
15,12,Mark Webber,Red Bull Renault,37,1:35.705,203.575
18,13,Vitantonio Liuzzi,STR Ferrari,23,1:35.723,203.537
8,14,Rubens Barrichello,Honda,50,1:35.842,203.284
11,15,Ralf Schumacher,Toyota,37,1:35.845,203.278
17,16,Alexander Wurz,Williams Toyota,27,1:35.992,202.966
23,17,Anthony Davidson,Super Aguri Honda,27,1:36.111,202.715
22,18,Takuma Sato,Super Aguri Honda,23,1:36.359,202.193
20,19,Adrian Sutil,Spyker Ferrari,45,1:36.772,201.330
21,20,Christijan Albers,Spyker Ferrari,40,1:37.184,200.477
