,Position,Driver,Car,Time
28,1,Gerhard Berger,Ferrari,1:40.042
1,2,Alain Prost,McLaren TAG,1:40.652
20,3,Thierry Boutsen,Benetton Ford,1:40.850
27,4,Michele Alboreto,Ferrari,1:40.984
6,5,Nelson Piquet,Williams Honda,1:41.144
19,6,Teo Fabi,Benetton Ford,1:41.679
5,7,Nigel Mansell,Williams Honda,1:42.616
12,8,Ayrton Senna,Lotus Honda,1:42.723
7,9,Riccardo Patrese,Brabham BMW,1:43.304
2,10,Stefan Johansson,McLaren TAG,1:43.371
8,11,Andrea de Cesaris,Brabham BMW,1:43.618
11,12,Satoru Nakajima,Lotus Honda,1:43.685
18,13,Eddie  Cheever,Arrows Megatron,1:44.277
17,14,Derek Warwick,Arrows Megatron,1:44.626
24,15,Alessandro Nannini,Minardi Motori Moderni,1:45.612
9,16,Martin Brundle,Zakspeed,1:46.023
10,17,Christian Danner,Zakspeed,1:46.116
25,18,Rene Arnoux,Ligier Megatron,1:46.200
30,19,Philippe Alliot,Lola Ford,1:47.395
3,20,Jonathan  Palmer,Tyrrell Ford,1:47.775
16,21,Ivan Capelli,March Ford,1:48.212
23,22,Adrian Campos,Minardi Motori Moderni,1:48.337
29,23,Yannick Dalmas,Lola Ford,1:48.887
21,24,Alex Caffi,Osella Alfa Romeo,1:49.017
26,25,Piercarlo Ghinzani,Ligier Megatron,1:49.641
4,26,Philippe Streiff,Tyrrell Ford,1:49.741
14,27,Roberto Moreno,AGS Ford,1:50.212
