,Position,Driver,Car,Lap,Time
5,1,Michael Schumacher,Benetton Ford,7,1:18.455
2,2,Ayrton Senna,Williams Renault,11,1:18.764
0,3,Damon Hill,Williams Renault,21,1:20.386
27,4,Jean Alesi,Ferrari,12,1:20.452
8,5,Martin Brundle,McLaren Peugeot,17,1:20.717
14,6,Rubens Barrichello,Jordan Hart,56,1:20.809
3,7,Ukyo Katayama,Tyrrell Yamaha,34,1:20.842
6,8,Jos Verstappen,Benetton Ford,8,1:20.896
30,9,Heinz-Harald Frentzen,Sauber Mercedes,12,1:20.907
29,10,Karl Wendlinger,Sauber Mercedes,8,1:20.987
7,11,Mika Hakkinen,McLaren Peugeot,6,1:20.989
4,12,Mark Blundell,Tyrrell Yamaha,19,1:21.039
10,13,Gianni Morbidelli,Footwork Ford,3,1:21.570
9,14,Christian Fittipaldi,Footwork Ford,8,1:21.582
15,15,Eddie Irvine,Jordan Hart,8,1:21.696
20,16,Erik Comas,Larrousse Ford,30,1:21.756
23,17,Pierluigi Martini,Minardi Ford,13,1:21.872
12,18,Johnny Herbert,Lotus Mugen Honda,40,1:22.007
28,19,Gerhard Berger,Ferrari,4,1:22.021
24,20,Michele Alboreto,Minardi Ford,5,1:22.488
26,21,Olivier Panis,Ligier Renault,38,1:22.744
11,22,Pedro Lamy,Lotus Mugen Honda,11,1:23.234
25,23,Eric Bernard,Ligier Renault,13,1:23.459
31,24,David Brabham,Simtek Ford,29,1:23.911
19,25,Olivier Beretta,Larrousse Ford,1,1:38.618
34,26,Bertrand Gachot,Pacific Ilmor,1,1:39.561
