,Position,Driver,Car,Time,Laps
2,1,Ayrton Senna,Williams Renault,1:15.962,22
5,2,Michael Schumacher,Benetton Ford,1:16.290,20
27,3,Jean Alesi,Ferrari,1:17.385,14
0,4,Damon Hill,Williams Renault,1:17.554,23
30,5,Heinz-Harald Frentzen,Sauber Mercedes,1:17.806,24
10,6,Gianni Morbidelli,Footwork Ford,1:17.866,20
29,7,Karl Wendlinger,Sauber Mercedes,1:17.927,24
7,8,Mika Hakkinen,McLaren Peugeot,1:18.122,17
6,9,Jos Verstappen,Benetton Ford,1:18.183,19
3,10,Ukyo Katayama,Tyrrell Yamaha,1:18.194,22
9,11,Christian Fittipaldi,Footwork Ford,1:18.204,20
4,12,Mark Blundell,Tyrrell Yamaha,1:18.246,19
20,13,Erik Comas,Larrousse Ford,1:18.321,18
14,14,Rubens Barrichello,Jordan Hart,1:18.414,18
23,15,Pierluigi Martini,Minardi Ford,1:18.659,22
15,16,Eddie Irvine,Jordan Hart,1:18.751,24
28,17,Gerhard Berger,Ferrari,1:18.855,9
8,18,Martin Brundle,McLaren Peugeot,1:18.864,14
26,19,Olivier Panis,Ligier Renault,1:19.304,21
25,20,Eric Bernard,Ligier Renault,1:19.396,18
12,21,Johnny Herbert,Lotus Mugen Honda,1:19.483,23
24,22,Michele Alboreto,Minardi Ford,1:19.517,24
19,23,Olivier Beretta,Larrousse Ford,1:19.524,16
11,24,Pedro Lamy,Lotus Mugen Honda,1:19.975,21
34,25,Bertrand Gachot,Pacific Ilmor,1:20.729,18
31,26,David Brabham,Simtek Ford,1:21.186,15
32,27,Roland Ratzenberger,Simtek Ford,1:22.707,12
