,Position,Driver,Car,Time / Gap,Laps
44,1,Lewis Hamilton,Mercedes,1:36.403,17
6,2,Nico Rosberg,Mercedes,+0.068s,22
5,3,Sebastian Vettel,Ferrari,+0.604s,28
7,4,Kimi Räikkönen,Ferrari,+1.324s,14
19,5,Felipe Massa,Williams Mercedes,+1.515s,16
77,6,Valtteri Bottas,Williams Mercedes,+1.582s,16
33,7,Max Verstappen,Toro Rosso Ferrari,+1.730s,22
22,8,Jenson Button,McLaren Honda,+1.857s,14
55,9,Carlos Sainz,Toro Rosso Ferrari,+2.062s,25
11,10,Sergio Perez,Force India Mercedes,+2.139s,18
3,11,Daniel Ricciardo,Red Bull Racing TAG Heuer,+2.219s,23
14,12,Fernando Alonso,McLaren Honda,+2.230s,12
26,13,Daniil Kvyat,Red Bull Racing TAG Heuer,+2.644s,15
27,14,Nico Hulkenberg,Force India Mercedes,+2.759s,16
21,15,Esteban Gutierrez ,Haas Ferrari,+2.827s,18
20,16,Kevin Magnussen,Renault,+2.835s,16
8,17,Romain Grosjean,Haas Ferrari,+2.836s,15
30,18,Jolyon Palmer,Renault,+3.186s,19
88,19,Rio Haryanto,MRT Mercedes,+3.196s,19
94,20,Pascal Wehrlein,MRT Mercedes,+3.260s,18
9,21,Marcus Ericsson,Sauber Ferrari,+3.337s,23
12,22,Felipe Nasr,Sauber Ferrari,+3.495s,19
