,Position,Driver,Car,Lap,Time
2,1,Nigel Mansell,Ferrari,75,1:18.203
20,2,Nelson Piquet,Benetton Ford,79,1:18.527
27,3,Ayrton Senna,McLaren Honda,50,1:19.302
1,4,Alain Prost,Ferrari,70,1:19.434
19,5,Roberto Moreno,Benetton Ford,38,1:19.707
5,6,Thierry Boutsen,Williams Renault,59,1:19.717
4,7,Jean Alesi,Tyrrell Ford,59,1:19.732
6,8,Riccardo Patrese,Williams Renault,57,1:19.818
28,9,Gerhard Berger,McLaren Honda,48,1:20.025
25,10,Nicola Larini,Ligier Ford,68,1:21.209
23,11,Pierluigi Martini,Minardi Ford,57,1:21.257
3,12,Satoru Nakajima,Tyrrell Ford,51,1:21.713
26,13,Philippe Alliot,Ligier Ford,69,1:21.921
12,14,Johnny Herbert,Lotus Lamborghini,51,1:22.142
15,15,Mauricio Gugelmin,Leyton House Judd,21,1:22.200
21,16,Emanuele Pirro,Dallara Ford,61,1:22.505
11,17,Derek Warwick,Lotus Lamborghini,16,1:22.524
16,18,Ivan Capelli,Leyton House Judd,43,1:22.583
8,19,Stefano Modena,Brabham Judd,55,1:22.693
17,20,Gabriele Tarquini,AGS Ford,56,1:23.147
29,21,Eric Bernard,Lola Lamborghini,18,1:23.272
22,22,Andrea de Cesaris,Dallara Ford,19,1:23.897
30,23,Aguri Suzuki,Lola Lamborghini,6,1:24.007
24,24,Gianni Morbidelli,Minardi Ford,17,1:24.272
14,25,Olivier Grouillard,Osella Ford,50,1:25.642
7,26,David Brabham,Brabham Judd,6,1:25.703
