,Position,Driver,Car,Lap,Time
5,1,Damon Hill,Williams Renault,46,1:24.531
1,2,Michael Schumacher,Benetton Renault,36,1:24.787
6,3,David Coulthard,Williams Renault,11,1:25.409
2,4,Johnny Herbert,Benetton Renault,36,1:25.521
27,5,Jean Alesi,Ferrari,15,1:25.671
8,6,Mika Hakkinen,McLaren Mercedes,31,1:25.771
28,7,Gerhard Berger,Ferrari,48,1:25.794
15,8,Eddie Irvine,Jordan Peugeot,43,1:25.868
14,9,Rubens Barrichello,Jordan Peugeot,45,1:26.246
26,10,Olivier Panis,Ligier Mugen Honda,22,1:26.369
25,11,Martin Brundle,Ligier Mugen Honda,25,1:27.039
7,12,Nigel Mansell,McLaren Mercedes,17,1:27.054
9,13,Gianni Morbidelli,Footwork Hart,57,1:27.284
30,14,Heinz-Harald Frentzen,Sauber Ford,24,1:27.328
3,15,Ukyo Katayama,Tyrrell Yamaha,42,1:27.467
4,16,Mika Salo,Tyrrell Yamaha,58,1:27.823
12,17,Jos Verstappen,Simtek Ford,39,1:27.923
29,18,Karl Wendlinger,Sauber Ford,50,1:27.991
10,19,Taki Inoue,Footwork Hart,16,1:28.204
23,20,Pierluigi Martini,Minardi Ford,21,1:28.828
24,21,Luca Badoer,Minardi Ford,17,1:29.032
11,22,Domenico Schiattarella,Simtek Ford,44,1:29.712
16,23,Bertrand Gachot,Pacific Ilmor,35,1:29.924
22,24,Roberto Moreno,Forti Ford,7,1:31.783
21,25,Pedro Diniz,Forti Ford,4,1:32.423
