,Position,Driver,Car,Time,Laps
1,1,Michael Schumacher,Benetton Renault,1:21.452,19
27,2,Jean Alesi,Ferrari,1:22.052,18
28,3,Gerhard Berger,Ferrari,1:22.071,19
6,4,David Coulthard,Williams Renault,1:22.332,21
5,5,Damon Hill,Williams Renault,1:22.349,21
15,6,Eddie Irvine,Jordan Peugeot,1:23.352,23
2,7,Johnny Herbert,Benetton Renault,1:23.536,22
14,8,Rubens Barrichello,Jordan Peugeot,1:23.705,15
8,9,Mika Hakkinen,McLaren Mercedes,1:23.833,22
7,10,Nigel Mansell,McLaren Mercedes,1:23.927,23
25,11,Martin Brundle,Ligier Mugen Honda,1:24.727,23
30,12,Heinz-Harald Frentzen,Sauber Ford,1:24.802,23
4,13,Mika Salo,Tyrrell Yamaha,1:24.971,22
9,14,Gianni Morbidelli,Footwork Hart,1:25.053,23
26,15,Olivier Panis,Ligier Mugen Honda,1:25.204,23
12,16,Jos Verstappen,Simtek Ford,1:25.827,17
3,17,Ukyo Katayama,Tyrrell Yamaha,1:25.946,21
10,18,Taki Inoue,Footwork Hart,1:26.059,24
23,19,Pierluigi Martini,Minardi Ford,1:26.619,21
29,20,Karl Wendlinger,Sauber Ford,1:27.007,24
24,21,Luca Badoer,Minardi Ford,1:27.345,24
11,22,Domenico Schiattarella,Simtek Ford,1:27.575,23
17,23,Andrea Montermini,Pacific Ilmor,1:28.094,22
16,24,Bertrand Gachot,Pacific Ilmor,1:28.598,24
22,25,Roberto Moreno,Forti Ford,1:28.963,23
21,26,Pedro Diniz,Forti Ford,1:29.540,24
