,Position,Driver,Car,Time / Gap,Laps
1,1,Michael Schumacher,Benetton Renault,1:24.083,19
28,2,Gerhard Berger,Ferrari,+1.133s,21
27,3,Jean Alesi,Ferrari,+1.294s,21
8,4,Mika Hakkinen,McLaren Mercedes,+2.090s,20
5,5,Damon Hill,Williams Renault,+2.279s,22
15,6,Eddie Irvine,Jordan Peugeot,+2.328s,21
30,7,Heinz-Harald Frentzen,Sauber Ford,+3.011s,18
26,8,Olivier Panis,Ligier Mugen Honda,+3.260s,22
6,9,David Coulthard,Williams Renault,+3.305s,15
3,10,Ukyo Katayama,Tyrrell Yamaha,+3.653s,21
14,11,Rubens Barrichello,Jordan Peugeot,+3.776s,23
12,12,Jos Verstappen,Simtek Ford,+4.824s,19
10,13,Taki Inoue,Footwork Hart,+4.901s,20
7,14,Nigel Mansell,McLaren Mercedes,+5.079s,19
4,15,Mika Salo,Tyrrell Yamaha,+5.228s,23
11,16,Domenico Schiattarella,Simtek Ford,+5.451s,17
23,17,Pierluigi Martini,Minardi Ford,+5.563s,23
9,18,Gianni Morbidelli,Footwork Hart,+5.838s,19
29,19,Karl Wendlinger,Sauber Ford,+6.320s,11
25,20,Martin Brundle,Ligier Mugen Honda,+6.469s,23
16,21,Bertrand Gachot,Pacific Ilmor,+7.133s,16
24,22,Luca Badoer,Minardi Ford,+7.814s,22
21,23,Pedro Diniz,Forti Ford,+9.216s,19
22,24,Roberto Moreno,Forti Ford,+10.241s,23
2,25,Johnny Herbert,Benetton Renault,+13.726s,13
17,26,Andrea Montermini,Pacific Ilmor,+157.949s,3
