,Position,Driver,Car,Lap,Time,Avg Speed
3,1,Jenson Button,McLaren Mercedes,56,1:29.187,214.053
1,2,Sebastian Vettel,Red Bull Racing Renault,57,1:29.417,213.503
2,3,Mark Webber,Red Bull Racing Renault,57,1:29.438,213.452
4,4,Lewis Hamilton,McLaren Mercedes,57,1:29.538,213.214
18,5,Pastor Maldonado,Williams Renault,53,1:30.254,211.523
17,6,Jean-Eric Vergne,STR Ferrari,52,1:30.274,211.476
5,7,Fernando Alonso,Ferrari,52,1:30.277,211.469
16,8,Daniel Ricciardo,STR Ferrari,53,1:30.592,210.733
11,9,Paul di Resta,Force India Mercedes,57,1:30.605,210.703
14,10,Kamui Kobayashi,Sauber Ferrari,55,1:30.620,210.668
9,11,Kimi Räikkönen,Lotus Renault,50,1:30.759,210.346
15,12,Sergio Perez,Sauber Ferrari,46,1:30.843,210.151
19,13,Bruno Senna,Williams Renault,49,1:30.855,210.123
8,14,Nico Rosberg,Mercedes,53,1:30.931,209.948
6,15,Felipe Massa,Ferrari,46,1:31.940,207.644
21,16,Vitaly Petrov,Caterham Renault,27,1:33.214,204.806
20,17,Heikki Kovalainen,Caterham Renault,26,1:33.693,203.759
7,18,Michael Schumacher,Mercedes,4,1:34.021,203.048
24,19,Timo Glock,Marussia Cosworth,43,1:34.253,202.548
25,20,Charles Pic,Marussia Cosworth,45,1:35.011,200.932
