,Position,Driver,Car,Time
27,1,Patrick Tambay,Ferrari,1:26.117
28,2,Rene Arnoux,Ferrari,1:26.935
1,3,Keke Rosberg,Williams Ford,1:27.145
2,4,Jacques Laffite,Williams Ford,1:27.818
11,5,Elio de Angelis,Lotus Renault,1:27.982
35,6,Derek Warwick,Toleman Hart,1:28.130
3,7,Michele Alboreto,Tyrrell Ford,1:28.425
15,8,Alain Prost,Renault,1:28.558
4,9,Danny Sullivan,Tyrrell Ford,1:28.833
25,10,Jean-Pierre Jarier,Ligier Ford,1:28.913
6,11,Riccardo Patrese,Brabham BMW,1:28.958
30,12,Alan  Jones,Arrows Ford,1:29.112
12,13,Nigel Mansell,Lotus Ford,1:29.167
36,14,Bruno Giacomelli,Toleman Hart,1:29.266
16,15,Eddie  Cheever,Renault,1:29.422
29,16,Marc Surer,Arrows Ford,1:29.521
34,17,Johnny Cecotto,Theodore Ford,1:29.559
33,18,Roberto Guerrero,Theodore Ford,1:29.585
22,19,Andrea de Cesaris,Alfa Romeo,1:29.603
5,20,Nelson Piquet,Brabham BMW,1:30.034
23,21,Mauro Baldi,Alfa Romeo,1:30.070
7,22,John Watson,McLaren Ford,1:30.100
8,23,Niki Lauda,McLaren Ford,1:30.188
9,24,Manfred Winkelhock,ATS BMW,1:30.220
17,25,Eliseo Salazar,RAM Ford,1:31.126
26,26,Raul Boesel,Ligier Ford,1:31.759
31,NC,Corrado Fabi,Osella Ford,1:31.901
32,NC,Piercarlo Ghinzani,Osella Ford,1:32.182
