,Position,Driver,Car,Lap,Time
8,1,Niki Lauda,McLaren TAG,42,1:28.330
28,2,Rene Arnoux,Ferrari,62,1:28.370
7,3,John Watson,McLaren TAG,41,1:28.652
15,4,Alain Prost,Renault,67,1:28.717
3,5,Michele Alboreto,Tyrrell Ford,70,1:29.032
25,6,Jean-Pierre Jarier,Ligier Ford,8,1:29.264
6,7,Riccardo Patrese,Brabham BMW,40,1:29.718
16,8,Eddie  Cheever,Renault,40,1:30.104
2,9,Jacques Laffite,Williams Honda,40,1:30.163
1,10,Keke Rosberg,Williams Honda,4,1:30.256
5,11,Nelson Piquet,Brabham BMW,41,1:30.256
30,12,Alan  Jones,Arrows Ford,37,1:30.261
27,13,Patrick Tambay,Ferrari,12,1:30.370
4,14,Danny Sullivan,Tyrrell Ford,11,1:30.372
34,15,Johnny Cecotto,Theodore Ford,40,1:30.382
29,16,Marc Surer,Arrows Ford,18,1:30.617
33,17,Roberto Guerrero,Theodore Ford,8,1:30.645
35,18,Derek Warwick,Toleman Hart,10,1:30.771
22,19,Andrea de Cesaris,Alfa Romeo,6,1:31.280
11,20,Elio de Angelis,Lotus Ford,27,1:31.344
12,21,Nigel Mansell,Lotus Ford,22,1:31.883
23,22,Mauro Baldi,Alfa Romeo,19,1:32.185
17,23,Eliseo Salazar,RAM Ford,22,1:32.506
36,24,Bruno Giacomelli,Toleman Hart,5,1:33.512
9,25,Manfred Winkelhock,ATS BMW,3,1:33.792
26,26,Raul Boesel,Ligier Ford,41,1:34.263
