,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
5,1,Sebastian Vettel,Ferrari,53,1:32.318,226.447,15:41:58
44,2,Lewis Hamilton,Mercedes,51,1:32.785,225.307,15:37:41
77,3,Valtteri Bottas,Mercedes,46,1:33.110,224.521,15:30:04
3,4,Daniel Ricciardo,Red Bull Racing TAG Heuer,50,1:33.187,224.336,15:36:27
18,5,Lance Stroll,Williams Mercedes,41,1:33.354,223.934,15:24:20
33,6,Max Verstappen,Red Bull Racing TAG Heuer,50,1:33.367,223.903,15:36:21
14,7,Fernando Alonso,McLaren Renault,28,1:33.943,222.530,15:02:31
35,8,Sergey Sirotkin,Williams Mercedes,41,1:33.985,222.431,15:24:10
11,9,Sergio Perez,Force India Mercedes,43,1:34.073,222.223,15:26:24
10,10,Pierre Gasly,Scuderia Toro Rosso Honda,35,1:34.133,222.081,15:13:33
55,11,Carlos Sainz,Renault,50,1:34.197,221.930,15:37:47
7,12,Kimi Räikkönen,Ferrari,28,1:34.223,221.869,15:01:39
16,13,Charles Leclerc,Sauber Ferrari,37,1:34.515,221.183,15:17:14
31,14,Esteban Ocon,Force India Mercedes,50,1:34.670,220.821,15:37:32
8,15,Romain Grosjean,Haas Ferrari,47,1:34.786,220.551,15:32:46
28,16,Brendon Hartley,Scuderia Toro Rosso Honda,30,1:34.857,220.386,15:05:40
27,17,Nico Hulkenberg,Renault,32,1:34.934,220.207,15:09:06
2,18,Stoffel Vandoorne,McLaren Renault,25,1:35.023,220.001,14:57:45
9,19,Marcus Ericsson,Sauber Ferrari,8,1:36.294,217.097,14:29:39
20,20,Kevin Magnussen,Haas Ferrari,6,1:39.908,209.244,14:26:55
