,Position,Driver,Car,Time / Gap,Laps
77,1,Valtteri Bottas,Mercedes,1:36.256,29
44,2,Lewis Hamilton,Mercedes,+0.310s,33
16,3,Charles Leclerc,Ferrari,+0.386s,30
5,4,Sebastian Vettel,Ferrari,+0.435s,28
33,5,Max Verstappen,Red Bull Racing Honda,+0.551s,30
23,6,Alexander Albon,Red Bull Racing Honda,+1.032s,30
8,7,Romain Grosjean,Haas Ferrari,+1.345s,17
11,8,Sergio Perez,Racing Point BWT Mercedes,+1.381s,32
26,9,Daniil Kvyat,Scuderia Toro Rosso Honda,+1.395s,34
10,10,Pierre Gasly,Scuderia Toro Rosso Honda,+1.514s,36
55,11,Carlos Sainz,McLaren Renault,+1.578s,32
4,12,Lando Norris,McLaren Renault,+1.662s,32
18,13,Lance Stroll,Racing Point BWT Mercedes,+1.729s,32
20,14,Kevin Magnussen,Haas Ferrari,+1.824s,31
27,15,Nico Hulkenberg,Renault,+1.866s,29
3,16,Daniel Ricciardo,Renault,+2.144s,26
7,17,Kimi Räikkönen,Alfa Romeo Racing Ferrari,+2.159s,30
99,18,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,+2.208s,32
63,19,George Russell,Williams Mercedes,+3.256s,32
88,20,Robert Kubica,Williams Mercedes,+4.199s,32
