,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
44,1,Lewis Hamilton,Mercedes,53,1:39.283,201.387,18:44:12
77,2,Valtteri Bottas,Mercedes,31,1:39.715,200.515,18:07:45
5,3,Sebastian Vettel,Ferrari,55,1:40.128,199.688,18:48:41
16,4,Charles Leclerc,Ferrari,44,1:40.442,199.064,18:29:40
33,5,Max Verstappen,Red Bull Racing Honda,55,1:41.119,197.731,18:47:53
3,6,Daniel Ricciardo,Renault,51,1:41.190,197.592,18:43:00
55,7,Carlos Sainz,McLaren Renault,43,1:41.294,197.389,18:29:19
23,8,Alexander Albon,Red Bull Racing Honda,49,1:42.219,195.603,18:38:27
26,9,Daniil Kvyat,Scuderia Toro Rosso Honda,42,1:42.222,195.597,18:27:25
10,10,Pierre Gasly,Scuderia Toro Rosso Honda,53,1:42.414,195.231,18:47:48
11,11,Sergio Perez,Racing Point BWT Mercedes,39,1:42.639,194.803,18:22:10
4,12,Lando Norris,McLaren Renault,50,1:43.026,194.071,18:41:04
63,13,George Russell,Williams Mercedes,50,1:43.074,193.981,18:42:21
7,14,Kimi Räikkönen,Alfa Romeo Racing Ferrari,25,1:43.142,193.853,17:58:04
99,15,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,28,1:43.256,193.639,18:03:50
27,16,Nico Hulkenberg,Renault,52,1:43.274,193.605,18:44:39
18,17,Lance Stroll,Racing Point BWT Mercedes,25,1:43.326,193.507,17:58:37
8,18,Romain Grosjean,Haas Ferrari,33,1:43.666,192.873,18:12:13
20,19,Kevin Magnussen,Haas Ferrari,22,1:43.790,192.642,17:52:47
88,20,Robert Kubica,Williams Mercedes,51,1:44.500,191.333,18:44:29
