,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,55,1:34:05.715,26
33,2,Max Verstappen,Red Bull Racing Honda,55,+16.772s,18
16,3,Charles Leclerc,Ferrari,55,+43.435s,15
77,4,Valtteri Bottas,Mercedes,55,+44.379s,12
5,5,Sebastian Vettel,Ferrari,55,+64.357s,10
23,6,Alexander Albon,Red Bull Racing Honda,55,+69.205s,8
11,7,Sergio Perez,Racing Point BWT Mercedes,54,+1 lap,6
4,8,Lando Norris,McLaren Renault,54,+1 lap,4
26,9,Daniil Kvyat,Scuderia Toro Rosso Honda,54,+1 lap,2
55,10,Carlos Sainz,McLaren Renault,54,+1 lap,1
3,11,Daniel Ricciardo,Renault,54,+1 lap,0
27,12,Nico Hulkenberg,Renault,54,+1 lap,0
7,13,Kimi Räikkönen,Alfa Romeo Racing Ferrari,54,+1 lap,0
20,14,Kevin Magnussen,Haas Ferrari,54,+1 lap,0
8,15,Romain Grosjean,Haas Ferrari,54,+1 lap,0
99,16,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,54,+1 lap,0
63,17,George Russell,Williams Mercedes,54,+1 lap,0
10,18,Pierre Gasly,Scuderia Toro Rosso Honda,53,+2 laps,0
88,19,Robert Kubica,Williams Mercedes,53,+2 laps,0
18,NC,Lance Stroll,Racing Point BWT Mercedes,45,DNF,0
