,Position,Driver,Car,Laps,Time,Points
44,1,Lewis Hamilton,Mercedes,52,1:28:01.283,25
33,2,Max Verstappen,Red Bull Racing Honda,52,+5.856s,19
16,3,Charles Leclerc,Ferrari,52,+18.474s,15
3,4,Daniel Ricciardo,Renault,52,+19.650s,12
4,5,Lando Norris,McLaren Renault,52,+22.277s,10
31,6,Esteban Ocon,Renault,52,+26.937s,8
10,7,Pierre Gasly,AlphaTauri Honda,52,+31.188s,6
23,8,Alexander Albon,Red Bull Racing Honda,52,+32.670s,4
18,9,Lance Stroll,Racing Point BWT Mercedes,52,+37.311s,2
5,10,Sebastian Vettel,Ferrari,52,+41.857s,1
77,11,Valtteri Bottas,Mercedes,52,+42.167s,0
63,12,George Russell,Williams Mercedes,52,+52.004s,0
55,13,Carlos Sainz,McLaren Renault,52,+53.370s,0
99,14,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,52,+54.205s,0
6,15,Nicholas Latifi,Williams Mercedes,52,+54.549s,0
8,16,Romain Grosjean,Haas Ferrari,52,+55.050s,0
7,17,Kimi Räikkönen,Alfa Romeo Racing Ferrari,51,+1 lap,0
26,NC,Daniil Kvyat,AlphaTauri Honda,11,DNF,0
20,NC,Kevin Magnussen,Haas Ferrari,1,DNF,0
27,NC,Nico Hulkenberg,Racing Point BWT Mercedes,0,DNS,0
