,Position,Driver,Car,Lap,Time,Avg Speed,Time of Day
33,1,Max Verstappen,Red Bull Racing Honda,52,1:27.097,243.494,15:41:29
23,2,Alexander Albon,Red Bull Racing Honda,52,1:28.689,239.123,15:41:56
44,3,Lewis Hamilton,Mercedes,45,1:29.238,237.652,15:30:26
77,4,Valtteri Bottas,Mercedes,41,1:29.265,237.580,15:24:31
3,5,Daniel Ricciardo,Renault,49,1:29.482,237.004,15:37:14
31,6,Esteban Ocon,Renault,50,1:29.491,236.980,15:38:51
10,7,Pierre Gasly,AlphaTauri Honda,52,1:29.603,236.684,15:41:55
8,8,Romain Grosjean,Haas Ferrari,49,1:29.782,236.212,15:37:46
16,9,Charles Leclerc,Ferrari,49,1:29.813,236.130,15:37:08
55,10,Carlos Sainz,McLaren Renault,47,1:29.948,235.776,15:34:12
7,11,Kimi Räikkönen,Alfa Romeo Racing Ferrari,49,1:29.973,235.710,15:38:53
4,12,Lando Norris,McLaren Renault,41,1:30.058,235.488,15:25:12
18,13,Lance Stroll,Racing Point BWT Mercedes,44,1:30.475,234.402,15:29:50
6,14,Nicholas Latifi,Williams Mercedes,44,1:30.501,234.335,15:30:08
5,15,Sebastian Vettel,Ferrari,44,1:30.537,234.242,15:29:56
63,16,George Russell,Williams Mercedes,41,1:30.862,233.404,15:25:29
99,17,Antonio Giovinazzi,Alfa Romeo Racing Ferrari,49,1:30.977,233.109,15:37:39
26,18,Daniil Kvyat,AlphaTauri Honda,11,1:32.443,229.412,14:33:55
